NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Atlantic County, New Jersey",96981,66859,300,4345,8159,14865,9785,6969,13176,6896,2364,30122,1884,4442,5795,5826,3301,2955,3757,1601,561,34,001
"Bergen County, New Jersey",339953,220204,524,12137,33819,49828,28380,24957,37967,21300,11292,119749,4327,23473,25548,23961,10626,8277,11864,6805,4868,34,003
"Burlington County, New Jersey",166698,125628,433,9338,17890,27648,16794,15163,22302,11784,4276,41070,2334,10676,8723,5990,2553,3078,3725,2640,1351,34,005
"Camden County, New Jersey",188840,125678,382,12236,18692,26524,16184,14327,22237,11519,3577,63162,3303,13488,12081,10351,5054,6019,6790,3901,2175,34,007
"Cape May County, New Jersey",39208,31531,180,2801,2843,5191,3639,4084,7296,4330,1167,7677,242,1588,616,1831,691,622,813,730,544,34,009
"Cumberland County, New Jersey",50034,33770,240,2926,5055,5401,4621,3581,6813,3976,1157,16264,1249,3883,4011,2319,1295,895,1753,733,126,34,011
"Essex County, New Jersey",289921,129988,222,8467,23956,29739,15807,14323,20432,11221,5821,159933,5729,30902,32718,34419,15737,13091,16845,7065,3427,34,013
"Gloucester County, New Jersey",101414,81032,218,6860,11575,19619,10033,9180,14374,6418,2755,20382,1243,4692,3983,2710,2393,1856,1471,826,1208,34,015
"Hudson County, New Jersey",263924,87480,847,11558,16488,16519,8934,10512,12627,6530,3465,176444,6207,52472,38862,29443,12759,10198,13817,9084,3602,34,017
"Hunterdon County, New Jersey",47733,39678,59,1833,5799,9568,6483,3913,7079,3323,1621,8055,201,1772,1353,1479,709,576,1195,557,213,34,019
"Mercer County, New Jersey",132980,83219,469,4024,12269,18942,10373,10143,15214,8486,3299,49761,2944,11550,10645,9178,4018,3359,4462,2744,861,34,021
"Middlesex County, New Jersey",285480,179541,408,11922,29114,39139,22359,21738,30972,15861,8028,105939,4715,26075,26036,19186,8889,5658,8286,3898,3196,34,023
"Monmouth County, New Jersey",236327,175902,416,11006,25765,40194,24016,20375,31540,15355,7235,60425,1890,12105,10614,9678,4783,6240,6946,5094,3075,34,025
"Morris County, New Jersey",181738,133030,143,7576,21535,32208,17342,16418,20715,12784,4309,48708,1667,11334,8264,8584,4782,3839,4482,2704,3052,34,027
"Ocean County, New Jersey",228622,182981,460,13047,21407,28516,19735,19945,41613,26636,11622,45641,1904,11215,7710,9035,2988,2227,5566,2765,2231,34,029
"Passaic County, New Jersey",169521,88450,413,7135,13767,19991,11029,9860,14701,8522,3032,81071,2722,14672,17917,16970,7426,6302,8575,4157,2330,34,031
"Salem County, New Jersey",23952,16506,48,1393,1931,3289,1848,2242,3430,1574,751,7446,356,1654,2121,995,562,430,711,483,134,34,033
"Somerset County, New Jersey",118729,91176,200,4808,14408,23670,11201,12059,14554,7646,2630,27553,1221,6378,6378,4399,2848,1847,1731,1547,1204,34,035
"Sussex County, New Jersey",53749,45399,254,3765,6460,9304,6585,6205,7947,3741,1138,8350,182,1222,1481,2266,606,568,1068,788,169,34,037
"Union County, New Jersey",192021,110647,578,7841,19347,25701,15592,12277,16482,9183,3646,81374,1169,14953,20136,15885,5783,6270,10310,3889,2979,34,039
"Warren County, New Jersey",41742,30249,53,2644,4300,6155,3016,4532,5167,3214,1168,11493,144,2363,1395,2543,1742,613,1832,364,497,34,041
