NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",103504,70698,276,7362,14273,17375,7436,6480,9335,6296,1865,32806,2105,8260,7715,6206,2200,34,001
"Bergen County, New Jersey",333469,226828,669,14659,49281,55851,24861,22206,29594,21897,7810,106641,4435,21916,27255,21128,7665,34,003
"Cumberland County, New Jersey",50047,33336,194,4996,6808,7332,3688,2415,4009,2967,927,16711,1453,4060,4192,2263,1255,34,011
"Burlington County, New Jersey",163226,128053,871,14549,27282,31939,12861,12272,15312,10603,2364,35173,2834,8600,9734,5247,2186,34,005
"Camden County, New Jersey",189498,134155,1686,14284,30381,33856,15493,10694,14354,10318,3089,55343,3937,14199,9955,10467,2877,34,007
"Cape May County, New Jersey",45715,33571,692,2648,5464,6617,2483,3428,5683,4651,1905,12144,1290,3945,2476,1535,376,34,009
"Essex County, New Jersey",278863,133992,556,11569,28632,33248,16123,11419,16777,11422,4246,144871,7833,32310,34707,26660,11202,34,013
"Gloucester County, New Jersey",99275,81394,833,10366,18459,21731,8183,6221,8926,5346,1329,17881,1740,5192,3069,2271,1070,34,015
"Hudson County, New Jersey",223451,76700,377,10476,17628,18193,6912,6307,8798,5627,2382,146751,7172,35989,38880,24782,11255,34,017
"Hunterdon County, New Jersey",45428,39999,41,2751,8956,12296,4884,4241,4045,2139,646,5429,290,983,1578,963,352,34,019
"Mercer County, New Jersey",127216,87262,397,7265,20709,21275,9412,8240,9334,8167,2463,39954,2898,11521,7247,6582,2661,34,021
"Middlesex County, New Jersey",270292,181635,546,16415,41447,46134,20536,14747,21521,15820,4469,88657,4865,24050,23890,15156,6067,34,023
"Monmouth County, New Jersey",229938,177418,1056,14227,38986,47436,22598,15395,20989,12949,3782,52520,4354,10783,9844,9907,3232,34,025
"Morris County, New Jersey",174256,133762,322,11307,31577,36117,15254,12525,14873,9301,2486,40494,2315,9156,10498,7589,2750,34,027
"Ocean County, New Jersey",221630,183953,1191,17262,33477,34327,13831,15431,27038,30304,11092,37677,2793,10777,8833,5434,1691,34,029
"Passaic County, New Jersey",159398,87811,314,6692,19913,22679,10355,8168,11221,6246,2223,71587,4858,16571,17940,13222,5888,34,031
"Salem County, New Jersey",24621,17534,251,1145,3767,4685,1527,1691,2554,1253,661,7087,844,2156,883,1345,247,34,033
"Somerset County, New Jersey",114164,90441,610,8335,22017,26729,9937,7524,8412,4926,1951,23723,1114,5677,5521,4885,1019,34,035
"Sussex County, New Jersey",54811,46096,191,4889,11437,12261,6184,3991,4474,2112,557,8715,655,2388,1741,1978,180,34,037
"Union County, New Jersey",185201,114852,662,8440,24672,31585,13533,9399,12636,10035,3890,70349,3560,14950,20386,12266,3764,34,039
"Warren County, New Jersey",41487,30818,81,2724,7774,7915,3298,2195,3645,2335,851,10669,149,2581,2324,2810,706,34,041
