NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Atlantic County, New Jersey",111158,74940,1076,6258,10798,11599,7229,11298,15702,8525,2455,36218,986,7286,7474,6111,2459,2736,4959,3223,984,34,001
"Bergen County, New Jersey",356438,231063,341,14908,36712,46875,27707,28452,38681,26737,10650,125375,2936,23312,29180,19699,10790,10763,15554,9648,3493,34,003
"Burlington County, New Jersey",179477,137492,823,11599,24821,24608,15666,15119,26305,14714,3837,41985,1530,9938,8002,6311,4410,1800,5247,3384,1363,34,005
"Camden County, New Jersey",201670,134076,826,13961,25242,25995,13495,13747,24858,12653,3299,67594,2449,14472,14267,8699,6362,6651,8015,4170,2509,34,007
"Cape May County, New Jersey",47516,39371,2191,3501,3849,5147,3417,4371,9541,6141,1213,8145,1292,1606,873,1301,544,401,871,922,335,34,009
"Cumberland County, New Jersey",54482,36090,297,4082,4583,7204,3526,4655,6618,3996,1129,18392,71,2839,3732,3265,1356,1443,4431,796,459,34,011
"Essex County, New Jersey",322456,146736,171,9742,29845,31139,14683,17713,24819,13924,4700,175720,8567,32424,34787,34024,15399,13683,20433,12138,4265,34,013
"Gloucester County, New Jersey",113391,89768,865,8254,16042,17245,9158,10719,16660,8593,2232,23623,1803,4687,4839,3546,1792,1602,2737,1900,717,34,015
"Hudson County, New Jersey",305743,88102,1058,11183,18027,15420,8920,9192,13440,8708,2154,217641,12065,65587,48511,32425,12070,13633,20289,9439,3622,34,017
"Hunterdon County, New Jersey",51186,43834,100,2957,6635,8411,5063,5942,8412,4846,1468,7352,75,1791,1560,1031,713,227,1005,865,85,34,019
"Mercer County, New Jersey",146258,88183,580,5828,14998,19714,9663,10484,15063,8217,3636,58075,1787,14096,10821,9127,3668,5013,8651,3294,1618,34,021
"Middlesex County, New Jersey",311100,196353,1299,12171,32369,43665,20284,22816,37439,18237,8073,114747,4799,28875,26475,19716,7916,7734,11121,5083,3028,34,023
"Monmouth County, New Jersey",252995,188381,968,12314,28689,36313,22049,25096,37792,19249,5911,64614,2100,15997,10953,9387,4720,4555,8383,5766,2753,34,025
"Morris County, New Jersey",193192,144520,196,11141,23334,29933,17308,17032,25370,15205,5001,48672,2338,10774,8668,9417,3678,4154,4244,3392,2007,34,027
"Ocean County, New Jersey",245827,197440,643,14590,24033,29197,18930,22744,44199,31409,11695,48387,3321,13031,8740,6489,2896,3251,6169,3388,1102,34,029
"Passaic County, New Jersey",178277,97018,615,6218,16021,19563,9570,11665,18068,11655,3643,81259,3348,16056,16090,14435,5440,8577,9694,5838,1781,34,031
"Salem County, New Jersey",25207,18245,210,1607,2811,3893,1557,2216,3643,1889,419,6962,673,767,1670,1124,298,719,930,692,89,34,033
"Somerset County, New Jersey",132047,98372,230,7454,17636,21050,12443,10944,17137,9215,2263,33675,1291,7935,5451,5607,3140,2842,4067,1549,1793,34,035
"Sussex County, New Jersey",58679,49903,164,5474,8966,8394,5616,6482,8887,5289,631,8776,371,1745,1197,1578,464,936,1417,599,469,34,037
"Union County, New Jersey",206095,121379,975,9686,22272,26448,12531,14224,20214,11015,4014,84716,2413,15256,19541,14450,8901,6959,9567,5331,2298,34,039
"Warren County, New Jersey",45263,34186,133,2558,5528,5814,5197,3169,7296,3871,620,11077,240,2541,2319,1416,802,342,1859,1299,259,34,041
