NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",101584,68970,980,7452,14735,16400,6754,5659,7839,7595,1556,32614,3410,6992,7108,6368,1624,34,001
"Bergen County, New Jersey",332223,225175,763,13773,50079,54557,24781,20251,28909,24520,7542,107048,4393,25468,25357,20069,8337,34,003
"Burlington County, New Jersey",164046,129201,1360,14486,28484,34191,11863,10931,14120,11495,2271,34845,3498,9908,6761,5952,2318,34,005
"Camden County, New Jersey",190659,130576,1141,14690,26698,33575,14054,10884,14414,12701,2419,60083,6026,14571,13478,10447,3196,34,007
"Cape May County, New Jersey",43616,34101,257,2457,5958,7586,3447,3174,5332,4618,1272,9515,1123,2035,1614,1190,680,34,009
"Cumberland County, New Jersey",49914,34344,776,4071,6423,8410,3555,2909,4186,3237,777,15570,1981,3381,3641,1916,766,34,011
"Essex County, New Jersey",283841,132585,971,11017,28395,34421,14952,11532,15752,12012,3533,151256,10645,34507,33053,28589,10907,34,013
"Gloucester County, New Jersey",98334,80615,273,9772,18644,21321,7993,5821,8381,6971,1439,17719,3407,3789,4038,2848,971,34,015
"Hudson County, New Jersey",229240,75231,799,9897,14650,18842,7464,6349,7960,7236,2034,154009,8879,38024,38919,26326,9534,34,017
"Hunterdon County, New Jersey",46141,40419,78,3369,9341,12062,4757,3948,3855,2390,619,5722,388,1299,900,1078,634,34,019
"Mercer County, New Jersey",127125,88365,1007,8706,20321,21495,9498,7613,10234,6440,3051,38760,3170,10737,7011,6338,3266,34,021
"Middlesex County, New Jersey",267854,181911,1120,17589,42087,44836,19302,16458,19114,16671,4734,85943,7032,23811,22051,15564,3308,34,023
"Monmouth County, New Jersey",230896,176093,1972,13238,41245,47742,18974,15354,20124,13258,4186,54803,3325,13644,11247,8835,4118,34,025
"Morris County, New Jersey",172614,132422,270,11885,31996,33834,14708,13473,14373,9372,2511,40192,2483,9406,9147,7130,2825,34,027
"Ocean County, New Jersey",221085,181891,1207,17618,30297,34334,13365,15558,28981,32023,8508,39194,4362,10506,9134,7054,1809,34,029
"Passaic County, New Jersey",163567,92153,694,8896,19101,21795,9521,8550,10855,9543,3198,71414,4719,12880,16129,15360,6010,34,031
"Salem County, New Jersey",24741,18979,264,2137,3254,5135,2255,1296,2069,2141,428,5762,619,1142,1463,833,145,34,033
"Somerset County, New Jersey",113561,93736,702,9291,25892,23770,8881,8494,8167,6574,1965,19825,1292,5451,5500,2773,906,34,035
"Sussex County, New Jersey",55173,46764,183,5222,11648,12927,5176,4102,4348,2390,768,8409,426,1152,2284,2482,400,34,037
"Union County, New Jersey",182478,119114,772,10248,27283,28143,13644,9859,13795,11379,3991,63364,3922,14224,15382,10741,5020,34,039
"Warren County, New Jersey",43264,31427,153,3577,7083,8140,2918,3175,2700,2586,1095,11837,181,2418,2849,2477,1048,34,041
