NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Atlantic County, New Jersey",107137,71428,765,5508,9710,12518,7912,9940,15172,7240,2663,35708,1906,5952,7073,5790,3802,3254,4616,2522,794,34,001
"Bergen County, New Jersey",347882,228197,982,12460,36826,50780,26183,27940,40844,22714,9468,119684,3568,24650,26162,21628,9690,10300,12552,6672,4463,34,003
"Burlington County, New Jersey",172966,130374,883,10418,20842,25650,16128,15636,23987,12200,4630,42592,2198,11315,8662,6174,3594,2704,4106,2218,1620,34,005
"Camden County, New Jersey",194469,129188,650,12909,21520,26120,14010,14958,22166,12304,4554,65282,3308,15456,13102,10287,5434,4883,7648,3368,1796,34,007
"Cape May County, New Jersey",44900,34348,1047,2828,4210,4932,3316,4458,7488,4592,1478,10552,1080,1770,1618,1350,838,1386,1218,786,504,34,009
"Cumberland County, New Jersey",52622,34535,422,3452,5380,6482,4074,4058,6246,2964,1458,18086,773,4565,3112,3300,1298,1044,2556,1016,423,34,011
"Essex County, New Jersey",309214,137656,828,8434,24002,32138,14962,15763,23461,12488,5580,171558,5429,35840,39378,30660,14896,13578,18986,8844,3947,34,013
"Gloucester County, New Jersey",109604,87047,468,8396,16004,17134,9719,10237,15288,7310,2492,22556,1079,4592,3927,3703,1618,2306,3160,1378,794,34,015
"Hudson County, New Jersey",279332,88750,670,11060,17566,16206,9518,9786,13754,7863,2325,190582,6798,55283,43740,30722,14318,11408,17032,7484,3799,34,017
"Hunterdon County, New Jersey",49596,41550,0,2958,6024,8900,5316,5484,7785,3580,1502,8047,175,1412,1838,1048,700,826,933,786,328,34,019
"Mercer County, New Jersey",137410,86336,420,5501,13316,18346,10060,11864,15430,8184,3216,51074,2763,10964,10492,9452,4185,3525,5281,2892,1520,34,021
"Middlesex County, New Jersey",296868,190315,526,12724,30548,40431,24886,21607,34804,17120,7670,106554,4786,26830,26254,18368,6484,6772,9657,5044,2358,34,023
"Monmouth County, New Jersey",245558,182270,646,11494,26228,37966,24138,24191,35103,16433,6072,63288,1932,13926,9898,10796,4982,5373,8275,5290,2815,34,025
"Morris County, New Jersey",188866,138860,327,10186,20431,31154,18786,15724,23550,13529,5173,50006,1288,11264,11102,7304,4326,3842,5154,3025,2702,34,027
"Ocean County, New Jersey",233730,188420,574,15552,22158,28950,18864,22840,41838,27082,10561,45311,2476,9766,8606,7417,3474,3214,5104,3535,1718,34,029
"Passaic County, New Jersey",172561,90180,268,6893,14512,18242,11267,11017,17025,7641,3316,82382,2458,14538,17877,17454,6842,6806,9840,4379,2188,34,031
"Salem County, New Jersey",24688,17702,154,1416,2524,3377,1806,2117,3414,2190,704,6986,119,1342,1329,1294,789,382,992,393,347,34,033
"Somerset County, New Jersey",126772,96028,441,7960,15772,21670,12444,11907,15381,7394,3059,30744,811,7516,6770,5349,2544,1846,2542,2052,1315,34,035
"Sussex County, New Jersey",56433,49030,460,4866,7270,10058,5992,6572,8552,4038,1222,7402,387,1194,1484,1280,706,699,920,372,360,34,037
"Union County, New Jersey",197120,113341,346,7858,20726,25438,13007,12636,19294,9958,4080,83779,1958,16550,19522,15887,7535,7104,8426,4640,2158,34,039
"Warren County, New Jersey",44375,31833,198,2450,3922,7211,3762,4062,5484,3602,1143,12542,614,2328,1990,2033,1379,1321,1764,696,416,34,041
