NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Mercer County, New Jersey",131623,84223,26,5150,16730,20616,10183,8808,12800,6930,2980,47400,2062,11935,8123,8435,2841,34,021
"Cumberland County, New Jersey",50066,31524,189,2595,4951,6869,4648,3304,5319,2613,1036,18542,1320,4548,3832,3786,786,34,011
"Somerset County, New Jersey",112974,87926,148,5008,15670,25516,10754,11003,11139,6167,2521,25048,407,4747,6079,5822,2151,34,035
"Ocean County, New Jersey",217698,174290,369,10375,21280,33756,17295,18206,37582,23883,11544,43408,1802,10431,8503,9041,3041,34,029
"Atlantic County, New Jersey",101721,67645,274,4423,8977,16651,10261,7458,11418,5939,2244,34076,1282,7938,5729,7587,2993,34,001
"Middlesex County, New Jersey",283211,179511,468,10943,32017,44516,23392,18482,27249,15150,7294,103700,4326,29373,26003,18059,7178,34,023
"Salem County, New Jersey",24280,17055,72,1220,1992,4149,2216,2490,2674,1622,620,7225,502,1746,1543,949,583,34,033
"Cape May County, New Jersey",38210,30288,100,1558,2584,6214,3677,4312,6399,4601,843,7922,260,1514,1169,1284,572,34,009
"Camden County, New Jersey",185774,122583,404,10035,21405,31293,16445,12829,18359,7899,3914,63191,3492,17744,12472,9549,5166,34,007
"Union County, New Jersey",186951,106359,0,7119,20102,26045,13765,10952,14670,8138,5568,80592,2339,17389,17909,18241,8226,34,039
"Hudson County, New Jersey",247490,75428,297,7888,17418,15020,8325,7093,10491,5945,2951,172062,5669,48969,37794,34963,11949,34,017
"Hunterdon County, New Jersey",45792,39090,105,1503,5978,12220,5701,4012,5803,2811,957,6702,65,862,1725,1201,627,34,019
"Morris County, New Jersey",178951,135135,281,8835,23711,36263,17502,13143,19402,11588,4410,43816,715,11313,8161,9382,2940,34,027
"Monmouth County, New Jersey",232158,171083,317,8261,29292,43849,22831,20233,26228,13086,6986,61075,1865,14739,11665,11889,5679,34,025
"Sussex County, New Jersey",54765,45727,122,2979,8221,12533,6553,5128,6479,2862,850,9038,432,2403,1532,1785,542,34,037
"Essex County, New Jersey",277102,124505,105,6161,22429,33895,14560,13511,20853,8773,4218,152597,5901,34708,32764,29430,13444,34,013
"Gloucester County, New Jersey",103864,80754,285,6636,14193,21068,10713,8128,11992,5521,2218,23110,1789,6921,3547,4533,1858,34,015
"Passaic County, New Jersey",161331,86520,103,6134,13384,22155,10760,9401,14222,6596,3765,74811,2147,16007,17250,16583,6727,34,031
"Bergen County, New Jersey",338063,218300,1255,13509,35386,55478,25452,21749,34715,20533,10223,119763,3763,27440,28922,22368,11279,34,003
"Warren County, New Jersey",41870,28909,0,1667,3981,8267,4208,2760,4345,2368,1313,12961,1097,3083,3045,2182,898,34,041
"Burlington County, New Jersey",162245,127368,269,9275,21542,32689,15278,13353,19106,11083,4773,34877,1353,10017,7320,6205,2028,34,005
