NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",100096,73515,419,6391,13499,19945,8036,7150,9828,6402,1845,26581,2231,4280,5247,5116,2604,34,001
"Bergen County, New Jersey",333002,220179,437,13664,41040,53508,27610,21387,31315,22382,8836,112823,5543,24801,24039,23234,9221,34,003
"Burlington County, New Jersey",163961,129352,379,11305,22884,35988,13094,13714,17218,11323,3447,34609,1899,8691,7394,7188,1406,34,005
"Camden County, New Jersey",189895,127365,1479,12602,25408,30404,14465,14154,16247,9860,2746,62530,3681,15373,11761,12054,4539,34,007
"Cape May County, New Jersey",42763,32537,568,1863,3976,6507,3835,4328,6336,4082,1042,10226,897,2388,1455,1863,862,34,009
"Cumberland County, New Jersey",50237,33219,354,2836,5026,8349,3640,3925,5007,2818,1264,17018,1686,3596,3851,2311,1892,34,011
"Essex County, New Jersey",275417,127663,701,8471,26045,32130,15571,11782,17786,10980,4197,147754,6824,34652,34347,31046,10511,34,013
"Gloucester County, New Jersey",104782,83913,599,9639,17670,20343,8742,8062,11591,5984,1283,20869,1788,3284,4428,5040,1357,34,015
"Hudson County, New Jersey",238692,80579,312,11693,16578,17612,8941,6618,9731,6133,2961,158113,6266,44344,36138,29650,10525,34,017
"Hunterdon County, New Jersey",47550,40191,0,1772,7231,12695,5676,4075,5378,2811,553,7359,263,1978,1372,1845,419,34,019
"Mercer County, New Jersey",131500,88812,238,7776,18733,22273,10791,7770,10736,7608,2887,42688,3064,9442,7974,8893,4046,34,021
"Middlesex County, New Jersey",278877,185748,165,14323,35180,49219,21726,19321,23492,16425,5897,93129,5331,26951,23606,15782,5431,34,023
"Monmouth County, New Jersey",234582,176443,748,11026,32657,50327,20838,17972,22881,14811,5183,58139,3539,12431,10578,11534,4068,34,025
"Morris County, New Jersey",177786,137596,85,9429,27301,37911,16822,12808,18373,10503,4364,40190,1618,7917,9657,8368,2800,34,027
"Ocean County, New Jersey",220972,180097,764,13053,25116,34547,16218,21329,32967,26178,9925,40875,2175,10208,8057,8308,2907,34,029
"Passaic County, New Jersey",161527,87721,235,6802,15938,22433,11657,8494,11223,7113,3826,73806,3186,16261,16818,16424,6117,34,031
"Salem County, New Jersey",24898,17356,72,1417,2806,4258,2082,1685,2634,2044,358,7542,266,1006,2186,1153,651,34,033
"Somerset County, New Jersey",115913,93582,123,7992,19019,26706,11286,7724,11000,6754,2978,22331,1495,4434,5882,4071,1903,34,035
"Sussex County, New Jersey",54881,46489,184,3995,9042,13142,5726,5227,5436,2619,1118,8392,295,1330,1819,2635,482,34,037
"Union County, New Jersey",183882,112626,162,8708,20930,28608,13666,11460,14512,9297,5283,71256,2563,15471,17619,15587,5230,34,039
"Warren County, New Jersey",41208,31745,185,2464,6192,9407,3056,3616,3358,2583,884,9463,505,1677,2105,1812,722,34,041
