NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",101076,73110,459,6440,15317,19872,6587,5942,9820,6124,2549,27966,1499,6793,5348,4678,2241,34,001
"Bergen County, New Jersey",331701,225394,388,13103,44258,59807,24239,23632,30956,20752,8259,106307,4195,25253,26869,19851,8338,34,003
"Burlington County, New Jersey",165184,130118,452,13566,27876,33424,13144,11999,16532,9942,3183,35066,2120,9293,8544,6637,1601,34,005
"Camden County, New Jersey",191668,132436,1415,14145,25574,35709,14897,11625,15211,9889,3971,59232,5715,15067,12406,9228,3675,34,007
"Cape May County, New Jersey",47356,35975,531,3841,5609,7506,3706,3007,5917,4228,1630,11381,1609,2716,3120,1526,291,34,009
"Cumberland County, New Jersey",51264,35093,186,3817,7196,8378,2991,4186,4194,2912,1233,16171,791,5165,3135,1993,1209,34,011
"Essex County, New Jersey",279297,129621,705,9573,27492,33821,14737,13126,16368,10159,3640,149676,10888,33535,33258,29384,9792,34,013
"Gloucester County, New Jersey",102002,81322,760,10211,17990,20803,8689,6699,9477,5547,1146,20680,1927,4330,4859,4093,1063,34,015
"Hudson County, New Jersey",234638,82951,102,9586,21269,19288,7913,7495,9250,5873,2175,151687,8437,34122,39071,29600,10542,34,017
"Hunterdon County, New Jersey",47797,41231,16,3781,10214,11174,5110,3436,4564,2352,584,6566,438,887,759,2056,452,34,019
"Mercer County, New Jersey",127905,86375,305,8450,18156,21230,9734,8390,10425,7307,2378,41530,2727,11284,8453,7513,2315,34,021
"Middlesex County, New Jersey",275089,183995,474,13897,42999,47464,22203,15860,20857,14968,5273,91094,6302,27512,21310,15699,5500,34,023
"Monmouth County, New Jersey",230530,175924,724,11946,35362,48454,22216,17590,22732,12253,4647,54606,3924,13474,10471,10689,2602,34,025
"Morris County, New Jersey",176084,133595,200,8320,29208,37276,13930,15521,17489,8925,2726,42489,2092,11370,9110,8885,3298,34,027
"Ocean County, New Jersey",221974,181757,1241,17952,28908,34644,14838,15159,26207,31999,10809,40217,2610,11509,8472,6983,2172,34,029
"Passaic County, New Jersey",155533,89413,482,6385,19017,22564,10423,8310,12609,6934,2689,66120,2894,12243,17339,13507,4864,34,031
"Salem County, New Jersey",24292,17517,82,2036,3455,4159,1901,1848,2264,1344,428,6775,451,1797,1040,923,761,34,033
"Somerset County, New Jersey",111280,89003,186,6122,21644,26126,9011,8298,10486,5404,1726,22277,594,6404,4894,4355,1409,34,035
"Sussex County, New Jersey",55621,47097,184,4271,10844,12488,6946,4188,5353,2290,533,8524,538,1266,1656,2533,660,34,037
"Union County, New Jersey",181121,110906,558,7625,21709,28567,13704,10786,13016,10362,4579,70215,3427,12635,19151,15042,5602,34,039
"Warren County, New Jersey",42600,31141,101,2535,6925,9749,3027,2268,3428,2318,790,11459,480,2587,2651,2247,817,34,041
