NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Atlantic County, New Jersey",112299,75198,989,6454,10435,12716,8187,10513,15754,7330,2820,37101,1606,5809,7430,5704,3803,3155,5738,3006,850,34,001
"Bergen County, New Jersey",352030,234102,680,12649,39748,50167,26495,29915,42093,22648,9707,117928,3155,23817,26075,21733,8468,10655,13544,5741,4740,34,003
"Burlington County, New Jersey",175859,136141,1075,10720,21982,26616,16176,17264,25418,12131,4759,39718,2336,11397,8133,4727,2894,3024,3638,1975,1594,34,005
"Camden County, New Jersey",201158,131385,787,13562,22773,26215,14081,14361,23160,11857,4589,69773,4097,16970,14418,8998,5820,4918,8610,3921,2021,34,007
"Cape May County, New Jersey",48860,38163,1475,3548,4802,5970,3100,5178,8022,4579,1489,10697,1532,1633,1760,1132,779,1334,1127,986,414,34,009
"Cumberland County, New Jersey",53883,35266,220,4579,5183,6373,3974,3456,6771,3340,1370,18617,1267,3232,3220,3636,1522,1433,2954,1001,352,34,011
"Essex County, New Jersey",322453,143674,874,9305,25968,32848,15011,16758,24615,12887,5408,178779,5695,36916,40518,32187,16695,13709,19407,9276,4376,34,013
"Gloucester County, New Jersey",112502,90679,232,10004,16815,17361,9966,9712,16475,7706,2408,21823,894,4184,4037,3937,1661,2072,3625,988,425,34,015
"Hudson County, New Jersey",292000,94167,923,11903,18173,17007,9598,9870,15670,8222,2801,197833,6606,57040,45139,33702,15617,11417,17622,7406,3284,34,017
"Hunterdon County, New Jersey",51292,44572,0,3502,6829,8588,6415,5570,8639,2955,2074,6720,188,1342,950,967,764,875,811,613,210,34,019
"Mercer County, New Jersey",143970,90821,656,6297,13742,19418,9650,12981,16565,8590,2922,53149,2108,10431,12258,9592,5164,3809,5764,2683,1340,34,021
"Middlesex County, New Jersey",307831,199177,900,12848,32777,42686,25122,22117,37847,17518,7362,108654,5897,26893,28178,16908,6823,7136,10736,4610,1473,34,023
"Monmouth County, New Jersey",250738,189905,1093,12404,29038,38681,24354,24853,36072,17579,5831,60833,1596,12764,8537,9944,5385,5434,9721,4506,2946,34,025
"Morris County, New Jersey",192847,145301,349,11513,23059,31431,20473,15600,24799,13162,4915,47546,1085,11796,10685,6203,4135,3433,4657,2905,2647,34,027
"Ocean County, New Jersey",240736,193793,597,16918,22290,28910,19002,23328,45078,25909,11761,46943,2764,10446,9794,8023,3407,3262,4885,3112,1250,34,029
"Passaic County, New Jersey",177063,92159,116,7750,15169,18201,11599,11172,17189,8907,2056,84904,2326,15744,18234,17654,6789,7519,10068,4581,1989,34,031
"Salem County, New Jersey",24973,17937,96,1525,2341,3535,1915,1828,3668,2127,902,7036,92,1672,1023,1053,1082,172,1358,244,340,34,033
"Somerset County, New Jersey",130939,100542,404,9494,16895,21957,12076,13060,16433,7688,2535,30397,807,7420,6206,5876,1915,2134,2738,2282,1019,34,035
"Sussex County, New Jersey",58767,50953,656,5575,8210,9666,6561,6353,8703,4432,797,7814,262,1318,1242,1379,725,981,1158,587,162,34,037
"Union County, New Jersey",201392,115020,313,8278,21366,24930,13813,11762,20741,10411,3406,86372,2119,16305,18852,16434,7893,8938,9070,4625,2136,34,039
"Warren County, New Jersey",46353,34019,396,3175,4295,7662,3638,4763,5173,4088,829,12334,963,2269,1959,1514,1893,1163,1711,377,485,34,041
