NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Monmouth County, New Jersey",230769,166208,221,9122,25375,40919,23370,19111,27288,14273,6529,64561,2802,12932,10261,13179,5770,4186,8484,4430,2517,34,025
"Sussex County, New Jersey",51978,42561,67,2955,5586,10757,6845,4475,7785,3024,1067,9417,334,1432,1918,2650,955,639,790,649,50,34,037
"Essex County, New Jersey",280734,119868,555,6392,20457,28130,14099,14154,20978,10224,4879,160866,4832,29838,39461,32935,16453,12291,14315,7086,3655,34,013
"Gloucester County, New Jersey",105436,82966,338,7010,13237,19824,10321,9595,13706,6145,2790,22470,1279,4949,3693,3611,2935,1185,2691,1095,1032,34,015
"Passaic County, New Jersey",163868,83895,124,5798,11225,20650,9051,10714,14703,7784,3846,79973,3395,17997,18658,14863,5138,6012,8248,3638,2024,34,031
"Bergen County, New Jersey",337227,214790,972,13052,31668,50564,25822,25090,35836,19716,12070,122437,5579,23783,27722,24986,9991,7752,11394,6927,4303,34,003
"Warren County, New Jersey",40512,29569,92,2346,3960,7598,4377,2444,5380,2385,987,10943,885,1677,2745,1844,1093,659,739,941,360,34,041
"Burlington County, New Jersey",165862,125711,115,9383,19372,28136,16767,14704,20628,11937,4669,40151,3632,10035,8426,6422,3229,2425,3170,1824,988,34,005
"Mercer County, New Jersey",128332,80834,104,4113,13262,19408,9491,9915,14834,6335,3372,47498,1561,11216,9278,9993,4002,3301,4955,1821,1371,34,021
"Cumberland County, New Jersey",50787,30879,19,1915,4590,6780,4245,3320,5846,3223,941,19908,1337,5080,3645,3069,1724,1266,2836,726,225,34,011
"Somerset County, New Jersey",116169,86798,176,4812,14394,22916,12581,8761,14380,6092,2686,29371,921,5574,7542,5465,2131,1864,2199,1722,1953,34,035
"Ocean County, New Jersey",224308,175845,761,11973,19032,30410,18638,19920,39814,23578,11719,48463,2149,10488,10341,7829,4259,2503,4847,3795,2252,34,029
"Atlantic County, New Jersey",96777,65459,641,4513,7886,14626,9129,7601,13044,5826,2193,31318,1517,5934,6866,5421,2709,1977,4092,2205,597,34,001
"Middlesex County, New Jersey",283661,179257,382,9186,30441,42121,22296,23010,29041,15328,7452,104404,4176,28368,25312,16747,8752,4950,8335,4930,2834,34,023
"Salem County, New Jersey",24195,16273,235,946,2254,2953,2465,1810,3284,1670,656,7922,420,1216,1223,1926,479,640,1129,520,369,34,033
"Cape May County, New Jersey",38895,29822,116,1763,2755,5406,3084,4543,7327,3331,1497,9073,422,1678,1554,2246,541,285,1090,527,730,34,009
"Camden County, New Jersey",185512,125281,1084,11947,19863,26956,15965,12790,22109,9789,4778,60231,3710,13235,12175,12351,5017,3108,5438,3322,1875,34,007
"Union County, New Jersey",187922,110760,264,7925,18722,26992,12677,13246,16999,8751,5184,77162,2400,15818,17984,15532,7187,5782,6962,3999,1498,34,039
"Hudson County, New Jersey",253321,77485,238,8591,15284,19069,7458,7637,10856,5815,2537,175836,6996,49020,43328,27718,12848,10927,14645,7409,2945,34,017
"Hunterdon County, New Jersey",47195,39579,105,1937,5502,10322,6537,4406,6515,3095,1160,7616,486,1877,1142,1647,286,496,662,816,204,34,019
"Morris County, New Jersey",181059,136087,272,7479,21619,36033,17925,14414,21368,11075,5902,44972,2487,9735,9413,9254,3204,3478,3977,1984,1440,34,027
