NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Mercer County, New Jersey",131564,83605,82,5200,14126,21794,10015,10114,13192,6464,2618,47959,3271,11800,9178,9388,3548,2621,3750,2894,1509,34,021
"Cumberland County, New Jersey",50593,31321,176,2023,5074,7005,3886,3445,5753,2998,961,19272,1895,4128,4369,2704,1672,1192,1747,1161,404,34,011
"Somerset County, New Jersey",117482,86722,288,5859,14240,24900,10675,10143,11866,5813,2938,30760,746,6227,9746,4905,3692,1242,1835,1602,765,34,035
"Ocean County, New Jersey",220941,177605,30,11184,20327,32911,19656,18900,37108,24648,12841,43336,1872,12723,9427,7827,2279,2167,3279,2116,1646,34,029
"Middlesex County, New Jersey",282860,176428,793,11418,31793,42144,22211,19197,28020,13645,7207,106432,3357,26878,27018,20786,7288,6621,8379,3724,2381,34,023
"Salem County, New Jersey",23832,16773,14,899,3027,3671,2015,1674,3048,1787,638,7059,313,1828,1118,1290,570,277,983,317,363,34,033
"Cape May County, New Jersey",40779,30995,94,2158,2295,6321,3149,4690,6935,4205,1148,9784,887,1212,2139,2123,620,623,995,631,554,34,009
"Camden County, New Jersey",188064,125909,742,10945,19976,28886,15839,14415,20004,10182,4920,62155,2975,15771,12579,11840,3504,3499,5778,4073,2136,34,007
"Union County, New Jersey",186037,110224,236,6579,21562,27225,13538,11342,16941,8942,3859,75813,1537,15325,19504,16365,7038,4229,5554,4171,2090,34,039
"Hudson County, New Jersey",253300,74355,241,7518,15602,16110,7781,8062,9906,6427,2708,178945,7352,48255,41343,32818,11173,13838,13864,6967,3335,34,017
"Hunterdon County, New Jersey",47387,39485,74,2127,5412,11244,5912,4753,7020,2085,858,7902,200,1251,1409,1498,667,888,927,721,341,34,019
"Morris County, New Jersey",179654,132204,40,7827,22800,34240,17686,14211,20170,10898,4332,47450,2013,10817,8760,9427,3633,2798,5687,2422,1893,34,027
"Atlantic County, New Jersey",101937,67981,171,4334,8780,16511,9175,8553,11485,6829,2143,33956,1565,8307,7070,6373,2121,2474,3946,1594,506,34,001
"Monmouth County, New Jersey",230391,168331,347,9253,26561,43715,24201,18194,26895,12979,6186,62060,2655,11934,11933,11974,5084,4677,6447,4082,3274,34,025
"Sussex County, New Jersey",54174,44936,143,2738,8365,11067,6572,5599,6855,2607,990,9238,276,1894,1461,2447,621,679,956,545,359,34,037
"Essex County, New Jersey",277735,121379,137,5863,22987,30739,13783,14242,18370,10394,4864,156356,5463,31394,34508,32564,14613,10425,15598,8117,3674,34,013
"Gloucester County, New Jersey",104305,81414,236,6967,14807,19904,9842,8900,12102,5791,2865,22891,2035,5091,3619,4412,1499,1301,2352,947,1635,34,015
"Passaic County, New Jersey",159309,84257,220,5048,13397,20298,11569,9552,13420,7671,3082,75052,2564,15574,18800,14773,6478,5395,6565,3345,1558,34,031
"Bergen County, New Jersey",337469,212605,472,12879,35947,51157,26954,22058,33891,20762,8485,124864,3617,24863,29813,26172,10251,9007,10570,6143,4428,34,003
"Warren County, New Jersey",41607,29710,33,1629,4867,8055,4103,3311,4087,2362,1263,11897,547,2622,2271,2263,827,765,1544,629,429,34,041
"Burlington County, New Jersey",165424,124823,275,7902,19976,31270,16182,13140,19840,11780,4458,40601,1982,9867,7941,8429,3231,1730,3337,2907,1177,34,005
