NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Atlantic County, New Jersey",106972,74931,1269,5742,8835,13549,8088,11337,14130,8887,3094,32041,64,6948,6996,5559,2158,3244,4880,1216,976,34,001
"Bergen County, New Jersey",354937,233045,527,14590,37769,49059,25982,27454,42992,25462,9210,121892,3289,23738,27412,23173,9634,10430,12231,8601,3384,34,003
"Burlington County, New Jersey",176334,135057,668,10664,22197,27067,14239,15773,25110,14700,4639,41277,3235,9505,7943,4628,3289,3011,4706,2757,2203,34,005
"Camden County, New Jersey",203530,134618,678,13128,22961,26945,13599,15379,25859,11819,4250,68912,4113,17181,13660,10027,4306,5850,6891,4727,2157,34,007
"Cape May County, New Jersey",48563,37046,0,3538,3777,5002,3687,4790,8950,5524,1778,11517,2506,2575,1859,1113,251,1029,1130,844,210,34,009
"Cumberland County, New Jersey",54961,36759,686,4490,5695,6322,4681,3851,6178,3478,1378,18202,822,3584,4228,1949,799,1641,2809,1443,927,34,011
"Essex County, New Jersey",321371,148132,1050,11385,26238,33510,15756,15278,25748,13503,5664,173239,6381,36833,34646,32192,14699,14149,20521,10963,2855,34,013
"Gloucester County, New Jersey",111781,90355,358,9093,15063,17710,9930,10953,15820,8476,2952,21426,2291,4269,4083,2171,1047,2773,2914,1425,453,34,015
"Hudson County, New Jersey",304526,98457,707,11385,19717,19209,10491,9257,16548,9020,2123,206069,11462,61375,43405,30456,15749,12048,17909,9916,3749,34,017
"Hunterdon County, New Jersey",50515,43634,130,2990,5641,9513,5681,5712,7711,5043,1213,6881,277,993,1208,1355,697,506,1253,426,166,34,019
"Mercer County, New Jersey",144989,92391,451,6600,16883,19011,9647,10822,16620,9136,3221,52598,3480,11606,9117,8233,4631,4345,6534,3025,1627,34,021
"Middlesex County, New Jersey",306950,199382,623,13293,35217,41307,21842,24414,35463,18951,8272,107568,5164,27052,24381,19053,9528,5434,9914,4900,2142,34,023
"Monmouth County, New Jersey",253767,193351,911,15407,28622,38291,20263,26275,36328,20802,6452,60416,1668,13309,10535,8468,6264,5705,7111,4393,2963,34,025
"Morris County, New Jersey",194141,145497,525,10277,25579,30287,17288,15765,24914,16230,4632,48644,2716,11356,8316,7106,3218,4403,5809,3364,2356,34,027
"Ocean County, New Jersey",241983,195515,573,18444,21334,27722,19189,23613,43392,30434,10814,46468,2859,9774,10515,7077,2538,3701,5606,2140,2258,34,029
"Passaic County, New Jersey",179292,96083,483,8394,14484,17685,11355,12540,18292,9382,3468,83209,2651,15937,17011,17447,7292,5556,9892,6537,886,34,031
"Salem County, New Jersey",25221,18889,44,2095,2834,3866,1603,2156,3801,1534,956,6332,160,421,1584,845,636,1055,1032,357,242,34,033
"Somerset County, New Jersey",130178,100332,370,8583,16552,22720,11692,12344,15992,9339,2740,29846,261,6186,8558,3878,2180,3155,2768,1930,930,34,035
"Sussex County, New Jersey",58885,50049,528,5339,8298,9053,6158,6031,8696,4237,1709,8836,355,1789,2045,1328,833,930,876,440,240,34,037
"Union County, New Jersey",202575,115513,227,9117,18729,26254,14088,12425,19606,11102,3965,87062,3664,16894,17922,15374,9576,5975,9714,4028,3915,34,039
"Warren County, New Jersey",45507,33959,0,3842,5096,6888,4072,3598,6781,2761,921,11548,562,1650,2480,1595,745,1160,1474,1562,320,34,041
