NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",103197,72038,369,7737,15276,18810,6916,6362,9259,5422,1887,31159,2324,7572,6390,5023,3023,34,001
"Bergen County, New Jersey",331529,229885,1018,16694,46379,58934,24957,22888,29380,21038,8597,101644,4791,21706,26337,19286,6877,34,003
"Burlington County, New Jersey",166164,128970,486,13500,28755,31527,14421,10969,15935,11592,1785,37194,1861,11276,8005,6083,2621,34,005
"Camden County, New Jersey",194073,134491,740,15582,29802,35004,14055,12161,15414,9698,2035,59582,7760,12611,11791,9944,3929,34,007
"Cape May County, New Jersey",46717,33841,984,2504,5574,6627,3154,3743,5289,4926,1040,12876,1768,4223,2102,1892,569,34,009
"Cumberland County, New Jersey",50885,35370,336,3210,6977,8681,3442,3646,4985,2994,1099,15515,915,5533,3330,2511,319,34,011
"Essex County, New Jersey",274095,131375,464,10101,27511,35562,14232,12281,16308,11664,3252,142720,8547,32419,32877,26340,10975,34,013
"Gloucester County, New Jersey",100042,80363,381,8815,19442,20624,9109,6819,8003,6125,1045,19679,2688,4533,3711,3897,1421,34,015
"Hudson County, New Jersey",228826,80109,392,10390,18264,18209,8227,7089,9354,5954,2230,148717,8164,36069,37424,28029,9757,34,017
"Hunterdon County, New Jersey",47446,41622,25,3169,9838,11226,5639,3656,4850,2687,532,5824,131,1226,1285,1234,483,34,019
"Mercer County, New Jersey",128026,89546,354,8669,19562,22409,10061,8557,10680,7297,1957,38480,3427,9114,7493,8409,2437,34,021
"Middlesex County, New Jersey",271942,182242,856,15712,42495,49035,18874,15234,21520,14635,3881,89700,5046,25908,24256,15895,3905,34,023
"Monmouth County, New Jersey",232730,174955,613,13479,36496,49807,21338,16207,21114,11382,4519,57775,2907,12526,12339,12127,3744,34,025
"Morris County, New Jersey",175099,133747,83,9183,31084,36370,15240,13961,16286,8642,2898,41352,2209,10829,7711,8481,3184,34,027
"Ocean County, New Jersey",222473,184003,1255,18589,29914,37552,14663,14344,26549,29368,11769,38470,2917,9982,9448,5813,1707,34,029
"Passaic County, New Jersey",158192,88013,193,6457,19410,21966,10316,8826,11308,6811,2726,70179,3500,14713,17662,14074,4128,34,031
"Salem County, New Jersey",25525,19888,135,2480,4052,4327,2364,1591,2712,1779,448,5637,669,1206,1146,929,398,34,033
"Somerset County, New Jersey",112733,90834,146,6817,21522,25338,10408,7977,11063,6213,1350,21899,1062,5413,5239,4157,941,34,035
"Sussex County, New Jersey",54524,46162,289,4586,10306,13941,4932,4372,4729,2394,613,8362,283,1557,1545,2055,944,34,037
"Union County, New Jersey",182933,109362,284,7172,24209,29958,11501,9138,12681,10420,3999,73571,2912,15431,18160,16579,4549,34,039
"Warren County, New Jersey",42759,32182,115,3475,7196,8091,2936,3199,3349,3080,741,10577,1067,1477,2905,1499,394,34,041
