NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Atlantic County, New Jersey",101975,67659,541,4563,8985,12320,7637,9366,14591,7150,2506,34316,2206,6094,6716,5877,3802,3352,3494,2037,738,34,001
"Bergen County, New Jersey",343733,222292,1284,12270,33905,51394,25871,25964,39595,22780,9229,121441,3980,25482,26248,21524,10912,9945,11560,7604,4186,34,003
"Burlington County, New Jersey",170074,124607,691,10115,19703,24685,16079,14009,22556,12269,4500,45467,2061,11233,9191,7620,4295,2384,4575,2461,1647,34,005
"Camden County, New Jersey",187780,126990,513,12256,20266,26024,13938,15554,21171,12750,4518,60790,2520,13942,11785,11576,5047,4848,6686,2814,1572,34,007
"Cape May County, New Jersey",40939,30533,619,2108,3617,3893,3532,3737,6955,4604,1468,10406,629,1906,1477,1567,897,1439,1310,587,594,34,009
"Cumberland County, New Jersey",51360,33804,624,2325,5577,6591,4173,4661,5720,2588,1545,17556,279,5898,3004,2965,1074,654,2157,1031,494,34,011
"Essex County, New Jersey",295976,131638,783,7562,22035,31429,14913,14768,22307,12090,5751,164338,5163,34763,38238,29132,13098,13448,18566,8412,3518,34,013
"Gloucester County, New Jersey",106705,83415,703,6788,15192,16906,9472,10762,14102,6915,2575,23290,1264,4999,3817,3469,1574,2539,2696,1769,1163,34,015
"Hudson County, New Jersey",266664,83332,417,10217,16960,15404,9439,9703,11839,7504,1849,183332,6989,53526,42341,27743,13018,11398,16441,7562,4314,34,017
"Hunterdon County, New Jersey",47901,38527,0,2415,5220,9212,4218,5397,6931,4204,930,9374,162,1483,2727,1129,637,777,1055,959,445,34,019
"Mercer County, New Jersey",130851,81851,184,4705,12891,17273,10469,10746,14295,7777,3511,49000,3418,11497,8725,9313,3206,3241,4798,3101,1701,34,021
"Middlesex County, New Jersey",285906,181453,151,12601,28319,38176,24649,21097,31760,16721,7979,104453,3674,26767,24329,19829,6145,6409,8578,5479,3243,34,023
"Monmouth County, New Jersey",240377,174634,198,10583,23418,37250,23923,23529,34134,15287,6312,65743,2268,15089,11259,11649,4579,5312,6829,6074,2684,34,025
"Morris County, New Jersey",184885,132419,305,8860,17803,30876,17099,15848,22301,13896,5431,52466,1490,10732,11520,8404,4517,4250,5651,3145,2757,34,027
"Ocean County, New Jersey",226725,183046,550,14186,22025,28990,18727,22353,38598,28256,9361,43679,2187,9087,7419,6811,3542,3165,5324,3958,2186,34,029
"Passaic County, New Jersey",168059,88200,420,6036,13854,18282,10935,10862,16861,6375,4575,79859,2590,13332,17520,17255,6894,6092,9613,4177,2386,34,031
"Salem County, New Jersey",24404,17467,213,1308,2707,3219,1696,2406,3159,2254,505,6937,146,1013,1635,1534,496,591,626,542,354,34,033
"Somerset County, New Jersey",122606,91514,478,6427,14650,21382,12811,10754,14329,7100,3583,31092,815,7612,7335,4822,3172,1559,2345,1821,1611,34,035
"Sussex County, New Jersey",54099,47108,263,4158,6331,10450,5422,6791,8402,3643,1648,6991,512,1071,1726,1182,687,417,681,157,558,34,037
"Union County, New Jersey",192848,111662,378,7437,20085,25947,12201,13511,17846,9504,4753,81186,1798,16795,20191,15340,7177,5270,7781,4655,2179,34,039
"Warren County, New Jersey",42397,29647,0,1726,3549,6760,3885,3360,5795,3115,1457,12750,266,2387,2021,2552,865,1479,1818,1014,348,34,041
