NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Monmouth County, New Jersey",235727,175403,519,10310,25415,40063,24224,22084,31301,15331,6156,60324,1732,12189,12137,11652,5081,4466,6909,3072,3086,34,025
"Mercer County, New Jersey",128757,81741,209,5058,12623,20155,10082,10272,13482,7145,2715,47016,2376,10801,10858,7591,2998,4088,4327,2321,1656,34,021
"Sussex County, New Jersey",53396,43930,114,2867,6868,10454,5493,5465,7629,3918,1122,9466,375,1785,1845,2038,1104,764,928,208,419,34,037
"Cumberland County, New Jersey",50696,33559,210,2304,4755,7596,3235,4307,6140,3579,1433,17137,1597,3831,3997,2521,1573,984,1600,308,726,34,011
"Somerset County, New Jersey",114812,88392,26,6054,14054,22568,11912,10379,13918,6854,2627,26420,1071,5552,5820,6091,2479,1194,1842,1489,882,34,035
"Essex County, New Jersey",284928,128910,407,7218,21140,32207,15682,15572,21181,10422,5081,156018,6336,33541,34912,30888,13654,10964,13749,7451,4523,34,013
"Ocean County, New Jersey",225847,180631,555,11873,20484,29603,20544,20555,39468,27177,10372,45216,2255,10627,7787,9597,3245,3900,3509,2018,2278,34,029
"Atlantic County, New Jersey",97618,62964,381,3156,7926,13600,8959,7750,12488,5871,2833,34654,1659,5857,7540,6797,3595,2020,4291,2290,605,34,001
"Gloucester County, New Jersey",105236,85189,139,8303,14472,18751,10879,9989,13393,6868,2395,20047,988,3492,4099,4379,906,1366,2357,1822,638,34,015
"Middlesex County, New Jersey",285446,181906,151,10201,30594,44070,22834,20804,30502,14946,7804,103540,5076,26219,25354,18508,7216,5666,8238,5394,1869,34,023
"Salem County, New Jersey",24801,16604,83,1675,2103,2821,1627,2688,3390,1522,695,8197,617,2180,1453,1207,623,596,863,425,233,34,033
"Passaic County, New Jersey",168397,87365,223,5338,14354,19080,10777,10420,15572,8525,3076,81032,2221,15320,18725,17381,8008,5114,7962,4367,1934,34,031
"Cape May County, New Jersey",39526,30613,137,2358,2486,4976,2837,4638,7677,3939,1565,8913,157,1801,1403,2073,1007,631,1049,407,385,34,009
"Camden County, New Jersey",190616,125863,381,11163,19694,29765,14956,14524,21349,10580,3451,64753,4461,15915,11860,9802,4130,5169,7251,4281,1884,34,007
"Bergen County, New Jersey",338516,215927,720,11818,34708,50193,26684,24164,37260,19103,11277,122589,3979,23994,27630,22975,13404,7631,10903,7988,4085,34,003
"Union County, New Jersey",190138,110787,149,5839,19274,26502,13834,12665,17583,9873,5068,79351,2150,15305,20170,15818,6411,5656,8156,3748,1937,34,039
"Warren County, New Jersey",41366,29866,24,2490,4468,6895,3772,3581,4782,2780,1074,11500,647,2015,1200,2513,1048,1264,1858,330,625,34,041
"Hudson County, New Jersey",251906,79978,579,9692,15953,15625,8254,9302,11752,6356,2465,171928,5867,45865,39849,29968,13165,11447,16370,7074,2323,34,017
"Hunterdon County, New Jersey",45967,37799,272,2078,4836,9343,5018,5186,6377,3035,1654,8168,95,1315,1368,1887,412,1283,1160,379,269,34,019
"Burlington County, New Jersey",164248,123012,298,8965,17845,28231,15846,13232,22319,12146,4130,41236,1778,10500,10064,6691,3630,3667,2607,1044,1255,34,005
"Morris County, New Jersey",180854,133490,251,8023,21841,31896,17555,14586,22177,12456,4705,47364,1040,11752,8693,8570,4247,3499,5206,2849,1508,34,027
