NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",101681,71846,165,6117,13186,19467,7619,6950,10632,5673,2037,29835,2179,6512,5656,5593,2090,34,001
"Bergen County, New Jersey",336555,221717,1563,14459,42218,58791,23148,22848,29058,20107,9525,114838,5089,28399,24382,20514,9714,34,003
"Burlington County, New Jersey",166769,129454,975,10957,26387,32990,14103,12403,16367,11151,4121,37315,3257,9036,8101,6548,3500,34,005
"Camden County, New Jersey",192758,133895,748,15079,25702,33390,14416,12328,16498,12054,3680,58863,4133,15299,11270,11567,3138,34,007
"Cape May County, New Jersey",46989,31715,299,1754,3173,7596,3673,3360,7007,3962,891,15274,3806,2656,2794,1786,1039,34,009
"Cumberland County, New Jersey",51597,34941,203,4175,5792,8380,3745,3664,4665,3101,1216,16656,980,3820,4099,2728,886,34,011
"Essex County, New Jersey",275365,127336,592,9297,26181,30254,16619,13583,16039,10988,3783,148029,7980,35134,33106,27243,11257,34,013
"Gloucester County, New Jersey",101728,82227,564,10038,17638,21479,9009,7218,8765,5749,1767,19501,1348,4862,3868,3725,830,34,015
"Hudson County, New Jersey",232745,77368,222,11409,18520,17123,7125,6850,8300,6349,1470,155377,6960,47343,32956,28198,10601,34,017
"Hunterdon County, New Jersey",46662,39498,71,1743,8360,12510,4667,3933,4501,2661,1052,7164,237,1228,1763,1758,473,34,019
"Mercer County, New Jersey",125904,83419,89,7180,16384,21473,8802,9357,10743,7204,2187,42485,2391,9969,8414,10070,2017,34,021
"Middlesex County, New Jersey",272122,181798,240,15064,37289,49660,19179,15742,23208,16013,5403,90324,4219,26866,20753,15332,6713,34,023
"Monmouth County, New Jersey",231172,172360,560,9334,34563,49597,20689,17804,22416,12979,4418,58812,3567,12650,12497,11264,3936,34,025
"Morris County, New Jersey",175368,134254,219,8725,29583,37481,14360,13952,16664,9284,3986,41114,2352,8773,8924,7936,2751,34,027
"Ocean County, New Jersey",217045,177786,319,14046,26717,34086,16814,17125,33878,26536,8265,39259,2261,7895,7786,9306,2407,34,029
"Passaic County, New Jersey",159056,88986,393,6564,16187,22792,10757,8111,12652,8805,2725,70070,2363,14763,18000,13899,4729,34,031
"Salem County, New Jersey",25842,19049,88,2125,3615,3884,2016,2154,2592,1706,869,6793,336,1611,1208,1382,363,34,033
"Somerset County, New Jersey",115121,88347,192,6816,20318,25149,10014,8294,10620,5059,1885,26774,1011,6633,6904,4550,1977,34,035
"Sussex County, New Jersey",55266,46913,152,4471,9565,14263,4663,5125,5494,2499,681,8353,626,1429,1780,2149,916,34,037
"Union County, New Jersey",183648,113582,206,8481,21509,29568,12849,11203,14550,10285,4931,70066,3480,16437,16677,14696,5539,34,039
"Warren County, New Jersey",41533,30060,70,2633,5279,9058,2644,3195,3875,2347,959,11473,739,1969,3623,1819,651,34,041
