county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Sussex,34037,2011,53190,45764,7426,0.8603872908441437,0.13961270915585636,65,3406,8600,12790,6401,4824,6767,2304,607,874,1632,2560,1429,931,0,0,0,0
Union,34039,2011,168399,111620,56779,0.6628305393737493,0.33716946062625075,548,7716,21374,27903,13149,11680,14163,9692,5395,2961,17034,15482,16450,4852,0,0,0,0
Warren,34041,2011,39006,32637,6369,0.8367174280879864,0.16328257191201354,60,2901,6567,8553,3816,3737,3659,2416,928,406,2177,1730,1779,277,0,0,0,0
Atlantic,34001,2012,92499,64897,27602,0.7015967740191786,0.2984032259808214,302,3946,9524,15830,7205,7688,12176,5927,2299,1979,8777,6609,7709,2528,0,0,0,0
Bergen,34003,2012,309406,219807,89599,0.7104160876001112,0.28958391239988884,755,12656,38009,54542,28266,23145,32121,20513,9800,3534,25990,26688,24366,9021,0,0,0,0
Burlington,34005,2012,155622,126351,29271,0.8119096271735359,0.18809037282646413,753,9783,20918,33214,14738,13376,18175,11372,4022,2538,8500,8575,6424,3234,0,0,0,0
Camden,34007,2012,171236,126421,44815,0.7382851736784322,0.2617148263215679,228,11286,23986,31056,14655,13366,17775,9963,4106,2541,15506,10685,10076,6007,0,0,0,0
Cape May,34009,2012,36961,29689,7272,0.8032520765130814,0.19674792348691864,151,1330,3162,6487,3821,3569,5956,4102,1111,463,2545,1880,1618,766,0,0,0,0
Cumberland,34011,2012,45787,34006,11781,0.7426998929827243,0.2573001070172756,0,2503,6639,7387,4361,3458,5144,3308,1206,923,3678,2946,2458,1776,0,0,0,0
Essex,34013,2012,245216,126170,119046,0.5145259689416678,0.48547403105833226,211,7448,24397,33409,14877,13127,17736,10895,4070,5676,34903,35363,30590,12514,0,0,0,0
Gloucester,34015,2012,100086,85156,14930,0.8508282876726015,0.14917171232739843,404,7365,15084,23246,10186,9148,11057,6605,2061,2179,4159,4086,3231,1275,0,0,0,0
Hudson,34017,2012,217913,79888,138025,0.36660502126995637,0.6333949787300437,503,9473,16868,17654,8573,7094,10948,6584,2191,9352,48086,38018,30992,11577,0,0,0,0
Hunterdon,34019,2012,45283,38620,6663,0.8528586886911202,0.14714131130887972,96,1622,6132,11924,5107,3866,6726,1926,1221,197,1578,2234,1686,968,0,0,0,0
Mercer,34021,2012,122228,86024,36204,0.7037994567529535,0.2962005432470465,453,6541,14124,22347,9802,8977,12990,6593,4197,3219,10593,9743,9085,3564,0,0,0,0
Middlesex,34023,2012,266804,187331,79473,0.7021296532285872,0.2978703467714127,624,14551,34693,48232,21396,19349,26056,14517,7913,6618,27006,23306,15963,6580,0,0,0,0
Monmouth,34025,2012,220090,177977,42113,0.8086555500022719,0.1913444499977282,504,11419,30093,49617,20869,20074,25454,15105,4842,2431,12801,11050,11531,4300,0,0,0,0
Morris,34027,2012,170533,136458,34075,0.8001853013786188,0.1998146986213812,310,7956,23834,37603,16598,14275,18830,11697,5355,1243,11092,9571,9096,3073,0,0,0,0
Ocean,34029,2012,214315,182764,31551,0.8527821197769638,0.1472178802230362,445,12798,23849,33578,17198,19396,36418,27052,12030,2521,10363,7370,8745,2552,0,0,0,0
Passaic,34031,2012,145941,86544,59397,0.5930067630069685,0.4069932369930314,64,6185,13489,21777,10740,9756,12592,8233,3708,2216,15021,18809,17353,5998,0,0,0,0
Salem,34033,2012,23082,17598,5484,0.7624122693007538,0.23758773069924616,72,1605,2729,3659,2134,2129,3185,1507,578,498,1211,1222,1740,813,0,0,0,0
Somerset,34035,2012,111630,89911,21719,0.8054376063782137,0.19456239362178626,203,5860,17038,26219,10570,8995,12499,6274,2253,1062,7459,6010,5630,1558,0,0,0,0
Sussex,34037,2012,52127,46098,6029,0.884340169202141,0.11565983079785908,260,3377,8579,12622,6316,4690,6228,2923,1103,434,1440,1632,1759,764,0,0,0,0
Union,34039,2012,169650,109258,60392,0.6440200412614205,0.3559799587385794,40,8181,19826,28737,11166,11842,14710,9088,5668,3442,16280,17987,17338,5345,0,0,0,0
Warren,34041,2012,38995,30513,8482,0.782484933965893,0.21751506603410695,93,1820,5948,8375,3338,3439,3971,2478,1051,789,2905,1634,2020,1134,0,0,0,0
Atlantic,34001,2013,93174,67645,25529,0.7260072552428789,0.2739927447571211,274,4423,8977,16651,10261,7458,11418,5939,2244,1282,7938,5729,7587,2993,0,0,0,0
Bergen,34003,2013,312072,218300,93772,0.6995180599348868,0.3004819400651132,1255,13509,35386,55478,25452,21749,34715,20533,10223,3763,27440,28922,22368,11279,0,0,0,0
Burlington,34005,2013,154291,127368,26923,0.8255050521417322,0.17449494785826783,269,9275,21542,32689,15278,13353,19106,11083,4773,1353,10017,7320,6205,2028,0,0,0,0
Camden,34007,2013,171006,122583,48423,0.7168344970351918,0.28316550296480825,404,10035,21405,31293,16445,12829,18359,7899,3914,3492,17744,12472,9549,5166,0,0,0,0
Cape May,34009,2013,35087,30288,4799,0.8632256961267706,0.1367743038732294,100,1558,2584,6214,3677,4312,6399,4601,843,260,1514,1169,1284,572,0,0,0,0
Cumberland,34011,2013,45796,31524,14272,0.6883570617521181,0.3116429382478819,189,2595,4951,6869,4648,3304,5319,2613,1036,1320,4548,3832,3786,786,0,0,0,0
Essex,34013,2013,240752,124505,116247,0.5171504286568751,0.4828495713431249,105,6161,22429,33895,14560,13511,20853,8773,4218,5901,34708,32764,29430,13444,0,0,0,0
Gloucester,34015,2013,99402,80754,18648,0.8123981408824772,0.18760185911752278,285,6636,14193,21068,10713,8128,11992,5521,2218,1789,6921,3547,4533,1858,0,0,0,0
Hudson,34017,2013,214772,75428,139344,0.35120034268899114,0.6487996573110089,297,7888,17418,15020,8325,7093,10491,5945,2951,5669,48969,37794,34963,11949,0,0,0,0
Hunterdon,34019,2013,43570,39090,4480,0.8971769566215285,0.10282304337847142,105,1503,5978,12220,5701,4012,5803,2811,957,65,862,1725,1201,627,0,0,0,0
Mercer,34021,2013,117619,84223,33396,0.7160662818082113,0.28393371819178875,26,5150,16730,20616,10183,8808,12800,6930,2980,2062,11935,8123,8435,2841,0,0,0,0
Middlesex,34023,2013,264450,179511,84939,0.6788088485536018,0.3211911514463982,468,10943,32017,44516,23392,18482,27249,15150,7294,4326,29373,26003,18059,7178,0,0,0,0
Monmouth,34025,2013,216920,171083,45837,0.7886916835699798,0.2113083164300203,317,8261,29292,43849,22831,20233,26228,13086,6986,1865,14739,11665,11889,5679,0,0,0,0
Morris,34027,2013,167646,135135,32511,0.806073512043234,0.19392648795676604,281,8835,23711,36263,17502,13143,19402,11588,4410,715,11313,8161,9382,2940,0,0,0,0
Ocean,34029,2013,207108,174290,32818,0.8415416111400815,0.1584583888599185,369,10375,21280,33756,17295,18206,37582,23883,11544,1802,10431,8503,9041,3041,0,0,0,0
Passaic,34031,2013,145234,86520,58714,0.595728272993927,0.40427172700607295,103,6134,13384,22155,10760,9401,14222,6596,3765,2147,16007,17250,16583,6727,0,0,0,0
Salem,34033,2013,22378,17055,5323,0.7621324515148807,0.23786754848511932,72,1220,1992,4149,2216,2490,2674,1622,620,502,1746,1543,949,583,0,0,0,0
Somerset,34035,2013,107132,87926,19206,0.8207258335511332,0.17927416644886682,148,5008,15670,25516,10754,11003,11139,6167,2521,407,4747,6079,5822,2151,0,0,0,0
Sussex,34037,2013,52421,45727,6694,0.8723030846416513,0.12769691535834876,122,2979,8221,12533,6553,5128,6479,2862,850,432,2403,1532,1785,542,0,0,0,0
Union,34039,2013,170463,106359,64104,0.6239418524841168,0.37605814751588323,0,7119,20102,26045,13765,10952,14670,8138,5568,2339,17389,17909,18241,8226,0,0,0,0
Warren,34041,2013,39214,28909,10305,0.7372112000816035,0.2627887999183965,0,1667,3981,8267,4208,2760,4345,2368,1313,1097,3083,3045,2182,898,0,0,0,0
Atlantic,34001,2014,101937,67981,33956,0.6668922962221765,0.33310770377782356,171,4334,8780,16511,9175,8553,11485,6829,2143,1565,8307,7070,6373,2121,2474,3946,1594,506
Bergen,34003,2014,337469,212605,124864,0.6299986072794834,0.3700013927205166,472,12879,35947,51157,26954,22058,33891,20762,8485,3617,24863,29813,26172,10251,9007,10570,6143,4428
Burlington,34005,2014,165424,124823,40601,0.7545640294032305,0.24543597059676953,275,7902,19976,31270,16182,13140,19840,11780,4458,1982,9867,7941,8429,3231,1730,3337,2907,1177
Camden,34007,2014,188064,125909,62155,0.6695008082354943,0.3304991917645057,742,10945,19976,28886,15839,14415,20004,10182,4920,2975,15771,12579,11840,3504,3499,5778,4073,2136
Cape May,34009,2014,40779,30995,9784,0.7600725863802448,0.23992741361975525,94,2158,2295,6321,3149,4690,6935,4205,1148,887,1212,2139,2123,620,623,995,631,554
Cumberland,34011,2014,50593,31321,19272,0.6190777380269998,0.3809222619730002,176,2023,5074,7005,3886,3445,5753,2998,961,1895,4128,4369,2704,1672,1192,1747,1161,404
Essex,34013,2014,277735,121379,156356,0.43703170288224386,0.5629682971177561,137,5863,22987,30739,13783,14242,18370,10394,4864,5463,31394,34508,32564,14613,10425,15598,8117,3674
Gloucester,34015,2014,104305,81414,22891,0.7805378457408562,0.21946215425914387,236,6967,14807,19904,9842,8900,12102,5791,2865,2035,5091,3619,4412,1499,1301,2352,947,1635
Hudson,34017,2014,253300,74355,178945,0.2935452033162258,0.7064547966837742,241,7518,15602,16110,7781,8062,9906,6427,2708,7352,48255,41343,32818,11173,13838,13864,6967,3335
Hunterdon,34019,2014,47387,39485,7902,0.8332454048578725,0.1667545951421276,74,2127,5412,11244,5912,4753,7020,2085,858,200,1251,1409,1498,667,888,927,721,341
Mercer,34021,2014,131564,83605,47959,0.6354701894135174,0.36452981058648265,82,5200,14126,21794,10015,10114,13192,6464,2618,3271,11800,9178,9388,3548,2621,3750,2894,1509
Middlesex,34023,2014,282860,176428,106432,0.6237290532418864,0.37627094675811357,793,11418,31793,42144,22211,19197,28020,13645,7207,3357,26878,27018,20786,7288,6621,8379,3724,2381
Monmouth,34025,2014,230391,168331,62060,0.7306318389173189,0.2693681610826812,347,9253,26561,43715,24201,18194,26895,12979,6186,2655,11934,11933,11974,5084,4677,6447,4082,3274
Morris,34027,2014,179654,132204,47450,0.7358811938504013,0.26411880614959865,40,7827,22800,34240,17686,14211,20170,10898,4332,2013,10817,8760,9427,3633,2798,5687,2422,1893
Ocean,34029,2014,220941,177605,43336,0.8038571383310477,0.19614286166895234,30,11184,20327,32911,19656,18900,37108,24648,12841,1872,12723,9427,7827,2279,2167,3279,2116,1646
Passaic,34031,2014,159309,84257,75052,0.5288903953951126,0.4711096046048874,220,5048,13397,20298,11569,9552,13420,7671,3082,2564,15574,18800,14773,6478,5395,6565,3345,1558
Salem,34033,2014,23832,16773,7059,0.7038016112789527,0.2961983887210473,14,899,3027,3671,2015,1674,3048,1787,638,313,1828,1118,1290,570,277,983,317,363
Somerset,34035,2014,117482,86722,30760,0.7381726562367001,0.2618273437632999,288,5859,14240,24900,10675,10143,11866,5813,2938,746,6227,9746,4905,3692,1242,1835,1602,765
Sussex,34037,2014,54174,44936,9238,0.829475394100491,0.170524605899509,143,2738,8365,11067,6572,5599,6855,2607,990,276,1894,1461,2447,621,679,956,545,359
Union,34039,2014,186037,110224,75813,0.592484290759365,0.4075157092406349,236,6579,21562,27225,13538,11342,16941,8942,3859,1537,15325,19504,16365,7038,4229,5554,4171,2090
Warren,34041,2014,41607,29710,11897,0.714062537553777,0.285937462446223,33,1629,4867,8055,4103,3311,4087,2362,1263,547,2622,2271,2263,827,765,1544,629,429
Atlantic,34001,2015,101813,69152,32661,0.6792059953051182,0.3207940046948818,302,4869,9361,16781,8036,8878,12047,6630,2248,1737,7217,6975,4940,2939,3022,3165,1331,1335
Bergen,34003,2015,336675,217086,119589,0.644793940744041,0.355206059255959,865,11414,35428,53109,25437,23083,36157,21093,10500,3978,25340,26317,22359,12063,8244,10315,6781,4192
Burlington,34005,2015,163505,119488,44017,0.7307911073055869,0.269208892694413,335,7171,17621,30603,16422,11646,20674,10836,4180,2508,11670,8561,8387,3071,2760,3572,1537,1951
Camden,34007,2015,185113,123985,61128,0.6697800802752913,0.3302199197247087,360,10640,19701,30124,16019,12527,19953,10511,4150,2908,14643,11972,11804,4659,4315,6242,3029,1556
Cape May,34009,2015,38708,29608,9100,0.7649064792807688,0.23509352071923117,102,1864,2822,4713,3431,4341,7056,3679,1600,0,1716,1302,2460,734,679,793,1297,119
Cumberland,34011,2015,50380,32877,17503,0.6525803890432711,0.34741961095672885,266,2125,6005,7713,3971,3897,5168,2598,1134,1178,3987,3676,2373,1997,540,1382,1500,870
Essex,34013,2015,279874,118393,161481,0.4230225029834854,0.5769774970165146,264,6234,21127,29618,15742,12895,18853,9097,4563,6433,33043,37094,32737,13496,11944,14006,7963,4765
Gloucester,34015,2015,103876,81254,22622,0.7822211097847434,0.21777889021525665,605,6981,15829,17666,10318,8658,12535,6505,2157,1442,4991,3729,4543,1871,1951,2301,1059,735
Hudson,34017,2015,255508,76341,179167,0.29878125146766443,0.7012187485323356,292,8895,15424,16420,8522,8159,11253,4422,2954,7124,51325,40948,32767,11535,11465,13032,7986,2985
Hunterdon,34019,2015,47057,38827,8230,0.8251057228467603,0.17489427715323969,128,1633,4943,10126,5574,4980,6632,3530,1281,479,1106,1871,2386,1093,133,699,95,368
Mercer,34021,2015,127965,80484,47481,0.6289532293986637,0.3710467706013363,250,4197,12956,21798,9720,9138,13232,6438,2755,1879,11537,10462,7340,4824,3872,3615,2174,1778
Middlesex,34023,2015,280855,174162,106693,0.620113581741468,0.379886418258532,346,10088,30433,42408,22909,19481,27169,14042,7286,3609,26347,27973,19925,8451,5993,6899,4172,3324
Monmouth,34025,2015,234365,172172,62193,0.7346318776267787,0.26536812237322127,321,8630,25715,43995,25237,19036,29255,14194,5789,2583,13695,11051,11881,5301,4037,5332,4168,4145
Morris,34027,2015,179480,133438,46042,0.7434700245152663,0.25652997548473366,677,7247,21903,34900,15508,16422,21337,10426,5018,1213,10778,9807,9458,3697,2624,4012,1944,2509
Ocean,34029,2015,222497,174878,47619,0.7859791367973501,0.21402086320264993,295,12360,18857,32353,19494,18081,38342,23277,11819,1918,10740,11066,9111,4182,1711,4625,2227,2039
Passaic,34031,2015,157309,82502,74807,0.5244582318875589,0.47554176811244114,232,4113,12063,18715,11671,10812,13405,7904,3587,2188,15454,17980,15451,5550,5541,7005,4278,1360
Salem,34033,2015,22747,17188,5559,0.7556161252033236,0.24438387479667648,95,1259,2356,3650,1892,2392,3244,1506,794,107,1128,1056,1259,281,489,723,338,178
Somerset,34035,2015,117198,87249,29949,0.7444580965545488,0.2555419034454513,422,4913,14807,24036,12468,7829,13438,6376,2960,1002,5924,7397,5473,3148,2046,2459,1249,1251
Sussex,34037,2015,53190,43479,9711,0.8174280879864636,0.18257191201353637,263,3239,6730,10980,6079,5646,7113,2488,941,461,1949,1130,2066,1149,514,1144,759,539
Union,34039,2015,188035,107462,80573,0.5714999867046029,0.4285000132953971,424,7503,17630,27390,13599,11455,16286,9196,3979,2680,17751,20963,14849,6413,5726,7137,3768,1286
Warren,34041,2015,41813,29009,12804,0.6937794465835984,0.3062205534164016,92,2257,3730,8295,3655,2783,4736,2297,1164,573,2056,2807,1982,1383,1039,1717,985,262
Atlantic,34001,2016,96777,65459,31318,0.6763900513551774,0.3236099486448226,641,4513,7886,14626,9129,7601,13044,5826,2193,1517,5934,6866,5421,2709,1977,4092,2205,597
Bergen,34003,2016,337227,214790,122437,0.6369300204313415,0.3630699795686585,972,13052,31668,50564,25822,25090,35836,19716,12070,5579,23783,27722,24986,9991,7752,11394,6927,4303
Burlington,34005,2016,165862,125711,40151,0.7579252631705876,0.2420747368294124,115,9383,19372,28136,16767,14704,20628,11937,4669,3632,10035,8426,6422,3229,2425,3170,1824,988
Camden,34007,2016,185512,125281,60231,0.6753255854068739,0.32467441459312607,1084,11947,19863,26956,15965,12790,22109,9789,4778,3710,13235,12175,12351,5017,3108,5438,3322,1875
Cape May,34009,2016,38895,29822,9073,0.7667309422804988,0.2332690577195012,116,1763,2755,5406,3084,4543,7327,3331,1497,422,1678,1554,2246,541,285,1090,527,730
Cumberland,34011,2016,50787,30879,19908,0.6080099237993974,0.3919900762006025,19,1915,4590,6780,4245,3320,5846,3223,941,1337,5080,3645,3069,1724,1266,2836,726,225
Essex,34013,2016,280734,119868,160866,0.4269807005920195,0.5730192994079805,555,6392,20457,28130,14099,14154,20978,10224,4879,4832,29838,39461,32935,16453,12291,14315,7086,3655
Gloucester,34015,2016,105436,82966,22470,0.7868849349368338,0.21311506506316627,338,7010,13237,19824,10321,9595,13706,6145,2790,1279,4949,3693,3611,2935,1185,2691,1095,1032
Hudson,34017,2016,253321,77485,175836,0.3058767334725506,0.6941232665274494,238,8591,15284,19069,7458,7637,10856,5815,2537,6996,49020,43328,27718,12848,10927,14645,7409,2945
Hunterdon,34019,2016,47195,39579,7616,0.8386269731963132,0.16137302680368684,105,1937,5502,10322,6537,4406,6515,3095,1160,486,1877,1142,1647,286,496,662,816,204
Mercer,34021,2016,128332,80834,47498,0.6298818689025341,0.37011813109746594,104,4113,13262,19408,9491,9915,14834,6335,3372,1561,11216,9278,9993,4002,3301,4955,1821,1371
Middlesex,34023,2016,283661,179257,104404,0.6319409435911175,0.3680590564088824,382,9186,30441,42121,22296,23010,29041,15328,7452,4176,28368,25312,16747,8752,4950,8335,4930,2834
Monmouth,34025,2016,230769,166208,64561,0.7202353869020536,0.2797646130979464,221,9122,25375,40919,23370,19111,27288,14273,6529,2802,12932,10261,13179,5770,4186,8484,4430,2517
Morris,34027,2016,181059,136087,44972,0.7516168762668523,0.24838312373314775,272,7479,21619,36033,17925,14414,21368,11075,5902,2487,9735,9413,9254,3204,3478,3977,1984,1440
Ocean,34029,2016,224308,175845,48463,0.7839443978814844,0.2160556021185156,761,11973,19032,30410,18638,19920,39814,23578,11719,2149,10488,10341,7829,4259,2503,4847,3795,2252
Passaic,34031,2016,163868,83895,79973,0.511966949007738,0.4880330509922621,124,5798,11225,20650,9051,10714,14703,7784,3846,3395,17997,18658,14863,5138,6012,8248,3638,2024
Salem,34033,2016,24195,16273,7922,0.6725769787146104,0.3274230212853895,235,946,2254,2953,2465,1810,3284,1670,656,420,1216,1223,1926,479,640,1129,520,369
Somerset,34035,2016,116169,86798,29371,0.7471700711893878,0.2528299288106121,176,4812,14394,22916,12581,8761,14380,6092,2686,921,5574,7542,5465,2131,1864,2199,1722,1953
Sussex,34037,2016,51978,42561,9417,0.818827196121436,0.18117280387856402,67,2955,5586,10757,6845,4475,7785,3024,1067,334,1432,1918,2650,955,639,790,649,50
Union,34039,2016,187922,110760,77162,0.5893934717595598,0.4106065282404402,264,7925,18722,26992,12677,13246,16999,8751,5184,2400,15818,17984,15532,7187,5782,6962,3999,1498
Warren,34041,2016,40512,29569,10943,0.7298825039494471,0.2701174960505529,92,2346,3960,7598,4377,2444,5380,2385,987,885,1677,2745,1844,1093,659,739,941,360
Atlantic,34001,2017,97618,62964,34654,0.6450039951648262,0.35499600483517385,381,3156,7926,13600,8959,7750,12488,5871,2833,1659,5857,7540,6797,3595,2020,4291,2290,605
Bergen,34003,2017,338516,215927,122589,0.6378634983279963,0.3621365016720037,720,11818,34708,50193,26684,24164,37260,19103,11277,3979,23994,27630,22975,13404,7631,10903,7988,4085
Burlington,34005,2017,164248,123012,41236,0.7489406263698797,0.2510593736301203,298,8965,17845,28231,15846,13232,22319,12146,4130,1778,10500,10064,6691,3630,3667,2607,1044,1255
Camden,34007,2017,190616,125863,64753,0.6602960926679817,0.3397039073320183,381,11163,19694,29765,14956,14524,21349,10580,3451,4461,15915,11860,9802,4130,5169,7251,4281,1884
Cape May,34009,2017,39526,30613,8913,0.7745028588777008,0.22549714112229924,137,2358,2486,4976,2837,4638,7677,3939,1565,157,1801,1403,2073,1007,631,1049,407,385
Cumberland,34011,2017,50696,33559,17137,0.6619654410604386,0.3380345589395613,210,2304,4755,7596,3235,4307,6140,3579,1433,1597,3831,3997,2521,1573,984,1600,308,726
Essex,34013,2017,284928,128910,156018,0.45243008760107817,0.5475699123989218,407,7218,21140,32207,15682,15572,21181,10422,5081,6336,33541,34912,30888,13654,10964,13749,7451,4523
Gloucester,34015,2017,105236,85189,20047,0.8095043521228477,0.1904956478771523,139,8303,14472,18751,10879,9989,13393,6868,2395,988,3492,4099,4379,906,1366,2357,1822,638
Hudson,34017,2017,251906,79978,171928,0.3174914452216303,0.6825085547783697,579,9692,15953,15625,8254,9302,11752,6356,2465,5867,45865,39849,29968,13165,11447,16370,7074,2323
Hunterdon,34019,2017,45967,37799,8168,0.8223073074161898,0.17769269258381012,272,2078,4836,9343,5018,5186,6377,3035,1654,95,1315,1368,1887,412,1283,1160,379,269
Mercer,34021,2017,128757,81741,47016,0.6348470374426245,0.3651529625573755,209,5058,12623,20155,10082,10272,13482,7145,2715,2376,10801,10858,7591,2998,4088,4327,2321,1656
Middlesex,34023,2017,285446,181906,103540,0.6372693959628091,0.36273060403719093,151,10201,30594,44070,22834,20804,30502,14946,7804,5076,26219,25354,18508,7216,5666,8238,5394,1869
Monmouth,34025,2017,235727,175403,60324,0.7440938034251486,0.2559061965748514,519,10310,25415,40063,24224,22084,31301,15331,6156,1732,12189,12137,11652,5081,4466,6909,3072,3086
Morris,34027,2017,180854,133490,47364,0.7381091930507481,0.2618908069492519,251,8023,21841,31896,17555,14586,22177,12456,4705,1040,11752,8693,8570,4247,3499,5206,2849,1508
Ocean,34029,2017,225847,180631,45216,0.7997936656231874,0.20020633437681262,555,11873,20484,29603,20544,20555,39468,27177,10372,2255,10627,7787,9597,3245,3900,3509,2018,2278
Passaic,34031,2017,168397,87365,81032,0.518803779164712,0.481196220835288,223,5338,14354,19080,10777,10420,15572,8525,3076,2221,15320,18725,17381,8008,5114,7962,4367,1934
Salem,34033,2017,24801,16604,8197,0.6694891335026814,0.33051086649731864,83,1675,2103,2821,1627,2688,3390,1522,695,617,2180,1453,1207,623,596,863,425,233
Somerset,34035,2017,114812,88392,26420,0.7698846810437934,0.23011531895620665,26,6054,14054,22568,11912,10379,13918,6854,2627,1071,5552,5820,6091,2479,1194,1842,1489,882
Sussex,34037,2017,53396,43930,9466,0.8227208030564087,0.1772791969435913,114,2867,6868,10454,5493,5465,7629,3918,1122,375,1785,1845,2038,1104,764,928,208,419
Union,34039,2017,190138,110787,79351,0.5826662739694327,0.4173337260305673,149,5839,19274,26502,13834,12665,17583,9873,5068,2150,15305,20170,15818,6411,5656,8156,3748,1937
Warren,34041,2017,41366,29866,11500,0.7219939080404196,0.2780060919595803,24,2490,4468,6895,3772,3581,4782,2780,1074,647,2015,1200,2513,1048,1264,1858,330,625
Atlantic,34001,2018,96981,66859,30122,0.6894030789536094,0.31059692104639053,300,4345,8159,14865,9785,6969,13176,6896,2364,1884,4442,5795,5826,3301,2955,3757,1601,561
Bergen,34003,2018,339953,220204,119749,0.6477483652151915,0.3522516347848085,524,12137,33819,49828,28380,24957,37967,21300,11292,4327,23473,25548,23961,10626,8277,11864,6805,4868
Burlington,34005,2018,166698,125628,41070,0.7536263182521686,0.24637368174783142,433,9338,17890,27648,16794,15163,22302,11784,4276,2334,10676,8723,5990,2553,3078,3725,2640,1351
Camden,34007,2018,188840,125678,63162,0.6655263715314552,0.3344736284685448,382,12236,18692,26524,16184,14327,22237,11519,3577,3303,13488,12081,10351,5054,6019,6790,3901,2175
Cape May,34009,2018,39208,31531,7677,0.804198122832075,0.1958018771679249,180,2801,2843,5191,3639,4084,7296,4330,1167,242,1588,616,1831,691,622,813,730,544
Cumberland,34011,2018,50034,33770,16264,0.6749410400927369,0.3250589599072631,240,2926,5055,5401,4621,3581,6813,3976,1157,1249,3883,4011,2319,1295,895,1753,733,126
Essex,34013,2018,289921,129988,159933,0.4483566212864884,0.5516433787135117,222,8467,23956,29739,15807,14323,20432,11221,5821,5729,30902,32718,34419,15737,13091,16845,7065,3427
Gloucester,34015,2018,101414,81032,20382,0.7990218313053424,0.20097816869465754,218,6860,11575,19619,10033,9180,14374,6418,2755,1243,4692,3983,2710,2393,1856,1471,826,1208
Hudson,34017,2018,263924,87480,176444,0.3314590563950228,0.6685409436049772,847,11558,16488,16519,8934,10512,12627,6530,3465,6207,52472,38862,29443,12759,10198,13817,9084,3602
Hunterdon,34019,2018,47733,39678,8055,0.831248821569983,0.16875117843001697,59,1833,5799,9568,6483,3913,7079,3323,1621,201,1772,1353,1479,709,576,1195,557,213
Mercer,34021,2018,132980,83219,49761,0.6258008723116258,0.3741991276883742,469,4024,12269,18942,10373,10143,15214,8486,3299,2944,11550,10645,9178,4018,3359,4462,2744,861
Middlesex,34023,2018,285480,179541,105939,0.6289092055485498,0.3710907944514502,408,11922,29114,39139,22359,21738,30972,15861,8028,4715,26075,26036,19186,8889,5658,8286,3898,3196
Monmouth,34025,2018,236327,175902,60425,0.7443161382321952,0.2556838617678048,416,11006,25765,40194,24016,20375,31540,15355,7235,1890,12105,10614,9678,4783,6240,6946,5094,3075
Morris,34027,2018,181738,133030,48708,0.7319878066227207,0.2680121933772794,143,7576,21535,32208,17342,16418,20715,12784,4309,1667,11334,8264,8584,4782,3839,4482,2704,3052
Ocean,34029,2018,228622,182981,45641,0.8003647942892635,0.1996352057107365,460,13047,21407,28516,19735,19945,41613,26636,11622,1904,11215,7710,9035,2988,2227,5566,2765,2231
Passaic,34031,2018,169521,88450,81071,0.5217642651942828,0.4782357348057173,413,7135,13767,19991,11029,9860,14701,8522,3032,2722,14672,17917,16970,7426,6302,8575,4157,2330
Salem,34033,2018,23952,16506,7446,0.689128256513026,0.31087174348697394,48,1393,1931,3289,1848,2242,3430,1574,751,356,1654,2121,995,562,430,711,483,134
Somerset,34035,2018,118729,91176,27553,0.7679336977486545,0.2320663022513455,200,4808,14408,23670,11201,12059,14554,7646,2630,1221,6378,6378,4399,2848,1847,1731,1547,1204
Sussex,34037,2018,53749,45399,8350,0.8446482725260005,0.15535172747399953,254,3765,6460,9304,6585,6205,7947,3741,1138,182,1222,1481,2266,606,568,1068,788,169
Union,34039,2018,192021,110647,81374,0.576223433895251,0.42377656610474895,578,7841,19347,25701,15592,12277,16482,9183,3646,1169,14953,20136,15885,5783,6270,10310,3889,2979
Warren,34041,2018,41742,30249,11493,0.7246658042259595,0.27533419577404056,53,2644,4300,6155,3016,4532,5167,3214,1168,144,2363,1395,2543,1742,613,1832,364,497
Atlantic,34001,2019,101975,67659,34316,0.663486148565825,0.33651385143417506,541,4563,8985,12320,7637,9366,14591,7150,2506,2206,6094,6716,5877,3802,3352,3494,2037,738
Bergen,34003,2019,343733,222292,121441,0.6466996185993198,0.35330038140068015,1284,12270,33905,51394,25871,25964,39595,22780,9229,3980,25482,26248,21524,10912,9945,11560,7604,4186
Burlington,34005,2019,170074,124607,45467,0.7326634288603784,0.26733657113962156,691,10115,19703,24685,16079,14009,22556,12269,4500,2061,11233,9191,7620,4295,2384,4575,2461,1647
Camden,34007,2019,187780,126990,60790,0.6762701033123868,0.32372989668761315,513,12256,20266,26024,13938,15554,21171,12750,4518,2520,13942,11785,11576,5047,4848,6686,2814,1572
Cape May,34009,2019,40939,30533,10406,0.7458169471652947,0.25418305283470527,619,2108,3617,3893,3532,3737,6955,4604,1468,629,1906,1477,1567,897,1439,1310,587,594
