county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Monmouth,34025,2006,215538,177418,38120,0.8231402351325521,0.17685976486744798,1056,14227,38986,47436,22598,15395,20989,12949,3782,4354,10783,9844,9907,3232,0,0,0,0
Morris,34027,2006,166070,133762,32308,0.805455530800265,0.19454446919973506,322,11307,31577,36117,15254,12525,14873,9301,2486,2315,9156,10498,7589,2750,0,0,0,0
Ocean,34029,2006,213481,183953,29528,0.8616832411315293,0.13831675886847072,1191,17262,33477,34327,13831,15431,27038,30304,11092,2793,10777,8833,5434,1691,0,0,0,0
Passaic,34031,2006,146290,87811,58479,0.6002529222776677,0.39974707772233237,314,6692,19913,22679,10355,8168,11221,6246,2223,4858,16571,17940,13222,5888,0,0,0,0
Salem,34033,2006,23009,17534,5475,0.7620496327524012,0.23795036724759877,251,1145,3767,4685,1527,1691,2554,1253,661,844,2156,883,1345,247,0,0,0,0
Somerset,34035,2006,108657,90441,18216,0.8323531847925122,0.16764681520748778,610,8335,22017,26729,9937,7524,8412,4926,1951,1114,5677,5521,4885,1019,0,0,0,0
Sussex,34037,2006,53038,46096,6942,0.8691127116407105,0.13088728835928956,191,4889,11437,12261,6184,3991,4474,2112,557,655,2388,1741,1978,180,0,0,0,0
Union,34039,2006,169778,114852,54926,0.6764834077442307,0.3235165922557693,662,8440,24672,31585,13533,9399,12636,10035,3890,3560,14950,20386,12266,3764,0,0,0,0
Warren,34041,2006,39388,30818,8570,0.7824210419417081,0.21757895805829186,81,2724,7774,7915,3298,2195,3645,2335,851,149,2581,2324,2810,706,0,0,0,0
Atlantic,34001,2007,96370,72038,24332,0.747514786759365,0.25248521324063505,369,7737,15276,18810,6916,6362,9259,5422,1887,2324,7572,6390,5023,3023,0,0,0,0
Bergen,34003,2007,308882,229885,78997,0.7442486127388452,0.25575138726115476,1018,16694,46379,58934,24957,22888,29380,21038,8597,4791,21706,26337,19286,6877,0,0,0,0
Burlington,34005,2007,158816,128970,29846,0.8120718315534958,0.18792816844650412,486,13500,28755,31527,14421,10969,15935,11592,1785,1861,11276,8005,6083,2621,0,0,0,0
Camden,34007,2007,180526,134491,46035,0.7449951807495874,0.2550048192504127,740,15582,29802,35004,14055,12161,15414,9698,2035,7760,12611,11791,9944,3929,0,0,0,0
Cape May,34009,2007,44395,33841,10554,0.7622705259601307,0.23772947403986935,984,2504,5574,6627,3154,3743,5289,4926,1040,1768,4223,2102,1892,569,0,0,0,0
