Year,CBSA,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,fmr_percentile
2016,12100,797.0,900.0,1152.0,1599.0,1821.0,40.0
2016,35620,1017.6666666666666,1174.75,1433.6666666666667,1858.75,2180.3333333333335,40.0
2016,36140,648.0,854.0,1051.0,1464.0,1673.0,40.0
2016,37980,830.0,1003.0,1210.0,1502.0,1659.0,50.0
2016,45940,863.0,1087.0,1328.0,1746.0,2023.0,40.0
2016,47220,712.0,896.0,1129.0,1442.0,1659.0,40.0
2017,0,719.0,933.0,1133.0,1574.0,1942.0,40.0
2017,10900,795.0,927.0,1118.0,1399.0,1683.0,40.0
2017,12100,912.0,1013.0,1310.0,1765.0,2010.0,40.0
2017,35620,1049.9166666666667,1198.8333333333333,1476.25,1909.0833333333333,2221.25,41.666666666666664
2017,36140,719.0,933.0,1133.0,1574.0,1942.0,40.0
2017,37980,845.0,1003.0,1211.0,1515.0,1686.0,50.0
2017,45940,947.0,1109.0,1364.0,1793.0,2073.0,40.0
2017,47220,809.0,878.0,1130.0,1478.0,1688.0,40.0
2018,0,719.0,930.0,1127.0,1553.0,1867.0,40.0
2018,10900,872.0,1020.0,1228.0,1540.0,1813.0,40.0
2018,12100,890.0,1020.0,1312.0,1734.0,1985.0,40.0
2018,35620,1052.4166666666667,1217.75,1504.5833333333333,1938.6666666666667,2255.1666666666665,41.666666666666664
2018,36140,719.0,930.0,1127.0,1553.0,1867.0,40.0
2018,37980,883.0,1047.0,1266.0,1587.0,1787.0,50.0
2018,45940,893.0,1072.0,1329.0,1733.0,2008.0,40.0
2018,47220,789.0,873.0,1155.0,1517.0,1782.0,40.0
2019,0,772.0,998.0,1202.0,1634.0,1845.0,40.0
2019,10900,938.0,1069.0,1297.0,1625.0,1823.0,40.0
2019,12100,858.0,1003.0,1279.0,1683.0,1913.0,40.0
2019,35620,1091.1666666666667,1273.1666666666667,1575.4166666666667,2020.5,2354.3333333333335,41.666666666666664
2019,36140,772.0,998.0,1202.0,1634.0,1845.0,40.0
2019,37980,840.0,992.0,1200.0,1503.0,1715.0,40.0
2019,45940,897.0,1082.0,1361.0,1749.0,1995.0,40.0
2019,47220,842.0,936.0,1229.0,1632.0,1939.0,40.0
2020,0,814.0,1012.0,1250.0,1669.0,1708.0,40.0
2020,10900,845.0,963.0,1171.0,1463.0,1641.0,40.0
2020,12100,872.0,1028.0,1305.0,1745.0,1980.0,40.0
2020,35620,1123.75,1312.5833333333333,1621.4166666666667,2075.25,2413.25,40.0
2020,36140,814.0,1012.0,1250.0,1669.0,1708.0,40.0
2020,37980,864.0,1013.0,1226.0,1528.0,1754.0,40.0
2020,45940,949.0,1128.0,1456.0,1814.0,2056.0,40.0
2020,47220,853.0,960.0,1259.0,1670.0,1985.0,40.0
2021,0,898.0,1069.0,1361.0,1763.0,1846.0,40.0
2021,10900,938.0,1037.0,1278.0,1590.0,1733.0,40.0
2021,12100,939.0,1108.0,1401.0,1919.0,2138.0,40.0
2021,35620,1203.0,1401.5833333333333,1719.0833333333333,2194.3333333333335,2551.5833333333335,40.0
2021,36140,898.0,1069.0,1361.0,1763.0,1846.0,40.0
2021,37980,900.0,1040.0,1260.0,1567.0,1796.0,40.0
2021,45940,1015.0,1170.0,1539.0,1914.0,2107.0,40.0
2021,47220,929.0,1037.0,1353.0,1796.0,2086.0,40.0
2022,0,973.0,1113.0,1465.0,1816.0,1987.0,40.0
2022,10900,988.0,1113.0,1365.0,1687.0,1868.0,40.0
2022,12100,946.0,1107.0,1407.0,1972.0,2183.0,40.0
2022,35620,1180.0833333333333,1365.8333333333333,1669.0833333333333,2121.0,2453.4166666666665,40.0
2022,36140,973.0,1113.0,1465.0,1816.0,1987.0,40.0
2022,37980,940.0,1071.0,1298.0,1605.0,1837.0,40.0
2022,45940,1072.0,1226.0,1613.0,1994.0,2187.0,40.0
2022,47220,970.0,1061.0,1377.0,1813.0,2025.0,40.0
2023,0,1046.0,1178.0,1551.0,1925.0,2084.0,40.0
2023,10900,1147.0,1268.0,1530.0,1897.0,2189.0,40.0
2023,12100,1081.0,1257.0,1583.0,2240.0,2445.0,40.0
2023,35620,1268.5833333333333,1452.8333333333333,1760.9166666666667,2222.0833333333335,2558.8333333333335,40.0
2023,36140,1046.0,1178.0,1551.0,1925.0,2084.0,40.0
2023,37980,1081.0,1218.0,1470.0,1789.0,2079.0,40.0
2023,45940,1158.0,1321.0,1732.0,2108.0,2327.0,40.0
2023,47220,1095.0,1143.0,1471.0,1941.0,2079.0,40.0
