Year,CBSA,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus,owner_rate,renter_rate
2008,45940,118667,86375,32292,305,8450,18156,21230,9734,8390,10425,7307,2378,2727,11284,8453,7513,2315,0,0,0,0,0.727877168884357,0.27212283111564295
2008,47220,47386,35093,12293,186,3817,7196,8378,2991,4186,4194,2912,1233,791,5165,3135,1993,1209,0,0,0,0,0.7405773857257418,0.2594226142742582
2009,0,43796,31715,12081,299,1754,3173,7596,3673,3360,7007,3962,891,3806,2656,2794,1786,1039,0,0,0,0,0.7241528906749475,0.2758471093250525
2009,10900,38861,30060,8801,70,2633,5279,9058,2644,3195,3875,2347,959,739,1969,3623,1819,651,0,0,0,0,0.7735261573299709,0.22647384267002907
2009,12100,93876,71846,22030,165,6117,13186,19467,7619,6950,10632,5673,2037,2179,6512,5656,5593,2090,0,0,0,0,0.7653287315181729,0.2346712684818271
2009,35620,2121026,1469945,651081,4729,110409,291010,381274,160884,144570,197380,131565,48124,40145,207550,185528,156845,61013,0,0,0,0,0.6930348802890677,0.3069651197109324
2009,36140,43796,31715,12081,299,1754,3173,7596,3673,3360,7007,3962,891,3806,2656,2794,1786,1039,0,0,0,0,0.7241528906749475,0.2758471093250525
2009,37980,460007,364625,95382,2375,38199,73342,91743,39544,34103,44222,30660,10437,9074,30808,24447,23222,7831,0,0,0,0,0.7926509813981092,0.20734901860189084
2009,45940,116280,83419,32861,89,7180,16384,21473,8802,9357,10743,7204,2187,2391,9969,8414,10070,2017,0,0,0,0,0.7173976608187135,0.2826023391812866
2009,47220,47454,34941,12513,203,4175,5792,8380,3745,3664,4665,3101,1216,980,3820,4099,2728,886,0,0,0,0,0.7363130610696674,0.2636869389303325
2010,0,40002,32537,7465,568,1863,3976,6507,3835,4328,6336,4082,1042,897,2388,1455,1863,862,0,0,0,0,0.8133843307834608,0.18661566921653916
2010,10900,38566,31745,6821,185,2464,6192,9407,3056,3616,3358,2583,884,505,1677,2105,1812,722,0,0,0,0,0.8231343670590676,0.17686563294093244
2010,12100,92993,73515,19478,419,6391,13499,19945,8036,7150,9828,6402,1845,2231,4280,5247,5116,2604,0,0,0,0,0.7905433742324691,0.20945662576753088
2010,35620,2146820,1488914,657906,3916,110928,276077,378838,175737,148197,204094,136006,55121,39098,200778,189932,168484,59614,0,0,0,0,0.6935439394080547,0.3064560605919453
2010,36140,40002,32537,7465,568,1863,3976,6507,3835,4328,6336,4082,1042,897,2388,1455,1863,862,0,0,0,0,0.8133843307834608,0.18661566921653916
2010,37980,453131,357986,95145,2529,34963,68768,90993,38383,37615,47690,29211,7834,7634,28354,25769,25435,7953,0,0,0,0,0.7900276079102952,0.20997239208970475
2010,45940,122231,88812,33419,238,7776,18733,22273,10791,7770,10736,7608,2887,3064,9442,7974,8893,4046,0,0,0,0,0.7265914538864936,0.2734085461135064
2010,47220,46555,33219,13336,354,2836,5026,8349,3640,3925,5007,2818,1264,1686,3596,3851,2311,1892,0,0,0,0,0.7135431210396306,0.2864568789603695
2011,0,38653,30796,7857,177,1303,3212,7342,2873,4606,6137,3886,1260,645,2606,1438,2375,793,0,0,0,0,0.7967298786640106,0.20327012133598946
2011,10900,39006,32637,6369,60,2901,6567,8553,3816,3737,3659,2416,928,406,2177,1730,1779,277,0,0,0,0,0.8367174280879864,0.16328257191201354
2011,12100,93896,66755,27141,233,4616,12525,15070,6671,8585,10513,6304,2238,2152,9101,5782,7878,2228,0,0,0,0,0.7109461531907643,0.28905384680923574
2011,35620,2136095,1457043,679052,3833,100136,265540,371020,170522,152212,206113,132434,55233,37152,212354,194510,169298,65738,0,0,0,0,0.6821058988481318,0.3178941011518682
2011,36140,38653,30796,7857,177,1303,3212,7342,2873,4606,6137,3886,1260,645,2606,1438,2375,793,0,0,0,0,0.7967298786640106,0.20327012133598946
2011,37980,449880,353116,96764,1627,29400,64686,89711,40713,38965,47025,30194,10795,8256,33015,23643,23093,8757,0,0,0,0,0.7849115319640793,0.2150884680359207
2011,45940,121075,85864,35211,397,7295,15389,20359,11176,8963,11335,8416,2534,2405,11264,9652,8868,3022,0,0,0,0,0.7091802601693166,0.2908197398306835
2011,47220,46328,34269,12059,504,2949,6175,8193,3553,3839,4818,3270,968,853,4108,3106,2838,1154,0,0,0,0,0.7397038508029701,0.26029614919702987
2012,0,36961,29689,7272,151,1330,3162,6487,3821,3569,5956,4102,1111,463,2545,1880,1618,766,0,0,0,0,0.8032520765130814,0.19674792348691864
2012,10900,38995,30513,8482,93,1820,5948,8375,3338,3439,3971,2478,1051,789,2905,1634,2020,1134,0,0,0,0,0.782484933965893,0.21751506603410695
2012,12100,92499,64897,27602,302,3946,9524,15830,7205,7688,12176,5927,2299,1979,8777,6609,7709,2528,0,0,0,0,0.7015967740191786,0.2984032259808214
2012,35620,2168908,1480826,688082,4015,101526,256807,375914,171676,155609,220318,134807,60154,38726,212019,198038,175049,64250,0,0,0,0,0.6827518732929198,0.31724812670708025
2012,36140,36961,29689,7272,151,1330,3162,6487,3821,3569,5956,4102,1111,463,2545,1880,1618,766,0,0,0,0,0.8032520765130814,0.19674792348691864
2012,37980,450026,355526,94500,1457,30039,62717,91175,41713,38019,50192,29447,10767,7756,29376,24568,21471,11329,0,0,0,0,0.7900121326323368,0.2099878673676632
2012,45940,122228,86024,36204,453,6541,14124,22347,9802,8977,12990,6593,4197,3219,10593,9743,9085,3564,0,0,0,0,0.7037994567529535,0.2962005432470465
