Year,CBSA,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
2020,47220,4.66,543.8,180.87,160.48
2021,0,15.59,1166.95,350.08,255.22
2021,10900,14.42,705.81,187.02,165.09
2021,12100,15.65,792.02,226.3,193.58
2021,35620,9.995,996.0341666666667,246.64666666666668,202.45666666666668
2021,36140,15.59,1166.95,350.08,255.22
2021,37980,13.6075,646.995,202.34,185.585
2021,45940,10.1,860.82,199.83,180.66
2021,47220,15.64,628.85,209.16,185.58
2022,0,19.34,1392.67,417.8,304.59
2022,10900,13.72,802.62,212.68,187.73
2022,12100,18.17,935.95,267.43,228.76
2022,35620,13.295833333333334,1127.9058333333332,279.59,229.545
2022,36140,19.34,1392.67,417.8,304.59
2022,37980,17.525,760.11,237.79,218.1025
2022,45940,16.5,1002.82,232.8,210.47
2022,47220,15.84,728.49,242.3,214.98
2023,0,11.37,1551.02,465.31,339.23
2023,10900,10.56,887.4,235.14,207.56
2023,12100,12.14,1049.61,299.9,256.55
2023,35620,9.929166666666667,1238.9833333333333,307.24666666666667,252.18583333333333
2023,36140,11.37,1551.02,465.31,339.23
2023,37980,12.58,855.5125,267.695,245.5375
2023,45940,12.91,1132.27,262.85,237.63
2023,47220,10.6,805.72,267.99,237.77
