"Allentown-Bethlehem-Easton, PA-NJ Metro Area",""
"    Estimate","203,500"
"Atlantic City-Hammonton, NJ Metro Area",""
"    Estimate","223,400"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",""
"    Estimate","414,000"
"Ocean City, NJ Metro Area",""
"    Estimate","311,800"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",""
"    Estimate","240,900"
"Trenton, NJ Metro Area",""
"    Estimate","283,600"
"Vineland-Bridgeton, NJ Metro Area",""
"    Estimate","157,300"
