State,County,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year
34,35620,2,1,2,14754,321250,2,3564.9,85,37,4,14754,2005
34,35620,2,2,1,26098,340863,1,3479.27,72,36,1,17249,2005
34,35620,2,1,1,21750,322251,2,3279.27,58,40,5,21750,2005
34,35620,2,2,2,24847,130490,1,2900.81,75,33,4,9055,2005
34,35620,2,2,1,100951,321965,1,3115.82,55,44,7,64180,2005
34,35620,1,1,1,107060,327691,2,3359.52,40,44,7,107060,2005
34,35620,2,1,1,0,323004,2,3171.92,76,44,7,0,2005
34,35620,2,3,2,68000,246878,1,3102.48,36,34,7,40000,2005
34,35620,2,1,1,88649,304828,2,3153.27,76,44,7,88649,2005
34,35620,2,4,1,61440,194356,1,4224.9,46,36,1,36000,2005
34,35620,2,5,2,48210,126712,1,3025.04,30,40,1,13005,2005
34,35620,2,2,1,29198,316050,1,2805.92,68,39,1,15199,2005
34,35620,2,2,1,198000,307116,2,3110.8,46,43,3,126000,2005
34,35620,2,5,1,300502,298829,1,3003.47,53,43,1,144385,2005
34,35620,2,2,2,90000,303764,1,3464.48,32,39,1,39000,2005
34,35620,2,1,1,43600,188681,2,3388.6,60,39,5,43600,2005
34,35620,2,2,2,30768,339854,2,3419.92,51,37,7,6768,2005
34,35620,2,1,2,61010,249321,2,2755.63,57,43,5,61010,2005
34,35620,2,1,1,28710,218568,2,2462.05,63,43,5,28710,2005
34,35620,2,1,2,110851,223555,2,2410.05,50,45,6,110851,2005
34,35620,2,4,1,110000,119812,1,2511.17,54,40,1,25000,2005
34,35620,2,1,1,18379,239392,2,2656.51,79,43,4,18379,2005
34,35620,2,4,2,12600,104328,1,2111.23,40,33,6,12600,2005
34,35620,2,4,2,31100,131837,1,2141.69,53,39,1,18000,2005
34,35620,2,1,2,7759,128242,2,2244.88,65,34,4,7759,2005
34,35620,2,1,2,12799,128242,2,2244.88,67,43,4,12799,2005
34,35620,1,1,2,11000,134757,2,2742.47,35,40,7,11000,2005
34,35620,1,1,2,19000,124552,2,2308.56,45,34,7,19000,2005
34,35620,1,1,2,11506,162844,2,3415.24,39,39,7,11506,2005
34,35620,1,2,1,77111,268592,1,2692.89,57,41,7,37111,2005
34,35620,2,4,2,69000,96335,1,2474.85,26,39,7,15000,2005
34,35620,1,2,2,92201,119356,2,2632.47,28,43,7,46101,2005
34,35620,1,4,1,206202,119595,1,2307.94,53,44,1,109101,2005
34,35620,1,4,1,180023,121301,1,2307.94,53,40,1,120011,2005
34,35620,2,1,1,7999,225919,2,2367.3,74,39,7,7999,2005
34,35620,2,1,1,77406,240137,2,2443.67,56,43,5,77406,2005
34,35620,2,1,1,12835,227154,2,2349.77,79,37,4,12835,2005
34,35620,2,4,1,50028,136791,1,2615.67,38,39,1,50025,2005
34,35620,2,2,1,70891,240699,1,2363.67,85,39,4,10891,2005
34,35620,2,4,1,45000,114545,1,2691.14,31,40,1,0,2005
34,35620,2,1,2,10000,164707,2,3886.56,21,40,7,10000,2005
34,35620,2,4,1,134100,130871,1,2530.31,45,46,1,80050,2005
34,35620,2,4,1,125650,130871,1,2530.31,45,44,1,70325,2005
34,35620,2,4,1,41507,121376,1,3148.34,48,39,1,30007,2005
34,35620,2,2,1,80524,224560,1,2507.45,60,45,4,80524,2005
34,35620,2,2,1,106722,212455,1,2669.05,38,39,1,66722,2005
34,35620,2,2,1,24000,239392,1,2190.96,85,39,1,24000,2005
34,35620,2,2,1,100000,221433,1,2402.15,26,39,1,45000,2005
34,35620,2,2,2,11599,151055,1,0.0,48,35,1,3000,2005
34,35620,4,1,2,8799,233705,2,2235.22,62,36,5,8799,2005
34,35620,4,1,1,65200,225563,2,2262.19,49,40,7,65200,2005
34,35620,4,2,2,27900,138740,1,0.0,28,36,1,17500,2005
34,35620,2,3,1,122131,97302,1,2355.28,47,40,1,34100,2005
34,35620,2,4,2,21572,135454,1,2469.86,46,39,3,17660,2005
34,35620,2,2,2,111144,221433,1,2402.15,27,44,1,43924,2005
34,35620,2,3,2,48701,234586,1,3154.13,56,39,5,15601,2005
34,35620,2,2,1,176000,242692,1,2745.92,34,43,1,77500,2005
34,35620,2,1,1,12799,219249,2,2190.96,79,39,5,12799,2005
34,35620,2,2,1,25000,114949,1,2322.62,36,39,5,25000,2005
34,35620,2,4,1,150700,125273,1,2567.05,44,43,1,0,2005
34,35620,2,5,1,57032,146262,1,3355.54,36,40,1,47032,2005
34,35620,2,4,1,227200,135454,1,2469.86,45,44,1,75000,2005
34,35620,2,2,2,35318,239924,1,2250.97,55,44,1,35159,2005
34,35620,2,3,1,48437,240699,1,2363.67,79,39,4,26947,2005
34,35620,2,3,2,20721,245489,1,2732.67,55,39,1,5395,2005
34,35620,2,3,1,84016,227439,1,2307.94,50,39,1,56008,2005
34,35620,2,2,1,69110,253255,1,2755.63,58,40,1,18230,2005
34,35620,2,1,1,73538,304828,2,3153.27,80,39,7,73538,2005
34,35620,2,3,1,116814,285108,1,2935.03,71,39,4,27737,2005
34,35620,2,2,1,24300,316050,1,2641.68,66,39,1,15750,2005
34,35620,2,5,1,140040,163795,1,3110.8,47,43,1,73040,2005
34,35620,2,4,1,159574,159376,1,3003.47,52,40,1,68333,2005
34,35620,2,1,1,55025,309936,2,3132.85,44,44,7,55025,2005
34,35620,2,2,2,19951,334504,1,3479.27,79,37,4,9945,2005
34,35620,2,1,2,7740,175302,2,4335.46,57,40,7,7740,2005
34,35620,2,4,1,83962,164179,2,3369.74,25,41,7,26462,2005
34,35620,2,4,1,116268,166183,1,3194.48,43,40,1,15783,2005
34,35620,1,4,1,94702,387029,1,3312.31,33,43,1,94702,2005
34,35620,2,4,1,103200,165312,1,3049.4,61,44,1,100150,2005
34,35620,2,4,1,183300,166183,1,3035.73,48,44,1,140800,2005
34,35620,2,4,1,60181,163795,1,3275.41,41,39,1,60081,2005
34,35620,2,2,1,58050,339854,1,3419.92,53,44,5,53150,2005
34,35620,2,4,1,252064,176429,1,3268.63,46,39,1,163032,2005
34,35620,2,1,1,44244,282446,2,2892.16,65,39,4,44244,2005
34,35620,2,2,1,116700,308874,1,3357.99,32,43,1,53350,2005
34,35620,2,2,2,160300,319235,1,3369.74,27,43,1,79000,2005
34,35620,2,4,1,119018,103198,1,2380.48,43,41,1,33009,2005
34,35620,2,2,1,19413,222684,1,2234.89,53,39,5,75,2005
34,35620,2,4,1,125575,125273,1,2667.83,47,44,1,66450,2005
34,35620,2,2,1,277200,229936,2,2697.06,35,43,7,157200,2005
34,35620,1,4,1,46711,139972,1,1928.32,66,40,1,29711,2005
34,35620,2,4,1,221848,118765,1,2234.89,50,43,1,50535,2005
34,35620,2,4,1,82000,114545,1,2581.69,31,39,1,45000,2005
34,35620,2,2,2,9203,255398,1,2755.63,56,39,1,9203,2005
34,35620,2,1,1,85018,150961,2,0.0,38,40,5,85018,2005
