county_name,total_occupied_units,owner_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_total,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,state_fips,county_fips,year,county_clean,county_fips_full,owner_rate,renter_rate
"Gloucester County, New Jersey",103725,82427,351,7821,16210,21312,8738,9969,10092,6006,1928,21298,1869,5505,3871,3793,1284,34,015,2011,Gloucester,34015,0.7946685948421306,0.20533140515786938
"Hudson County, New Jersey",243850,79974,1243,10864,16421,16869,9118,6211,10331,6918,1999,163876,7861,46412,36108,29525,12379,34,017,2011,Hudson,34017,0.32796391224113186,0.6720360877588681
"Hunterdon County, New Jersey",46741,39847,63,1581,7708,12048,4812,4184,5514,3492,445,6894,184,1484,1231,1792,502,34,019,2011,Hunterdon,34019,0.8525063648616846,0.1474936351383154
"Mercer County, New Jersey",130756,85864,397,7295,15389,20359,11176,8963,11335,8416,2534,44892,2405,11264,9652,8868,3022,34,021,2011,Mercer,34021,0.6566734987304598,0.34332650126954023
"Middlesex County, New Jersey",278920,181221,72,13294,35224,46727,22410,18899,22907,15278,6410,97699,4606,27353,24040,18234,6772,34,023,2011,Middlesex,34023,0.6497239351785459,0.3502760648214542
"Monmouth County, New Jersey",231198,175250,447,9779,31041,49871,22788,18669,23628,13093,5934,55948,2740,13993,10446,9618,3325,34,025,2011,Monmouth,34025,0.758008287268921,0.241991712731079
"Morris County, New Jersey",182745,135385,133,9784,24761,37880,15268,14829,16800,11920,4010,47360,1424,12418,10035,9097,2754,34,027,2011,Morris,34027,0.7408410626829736,0.25915893731702644
"Ocean County, New Jersey",222079,177659,636,12957,23668,35193,15610,18830,34821,25703,10241,44420,2641,13240,7850,6878,3385,34,029,2011,Ocean,34029,0.7999810878110942,0.20001891218890575
"Passaic County, New Jersey",163192,87579,124,6571,16769,20934,11682,9178,12629,7003,2689,75613,2835,14078,19365,15876,6777,34,031,2011,Passaic,34031,0.5366623363890387,0.46333766361096135
"Salem County, New Jersey",24656,17534,169,1372,2745,4020,2384,1754,2651,1697,742,7122,428,1517,1357,1592,540,34,033,2011,Salem,34033,0.711145360155743,0.28885463984425697
"Somerset County, New Jersey",114323,87589,19,6306,17868,24513,9605,9652,10776,6183,2667,26734,387,7294,6039,5263,1509,34,035,2011,Somerset,34035,0.7661537923252539,0.23384620767474612
"Sussex County, New Jersey",54746,45764,65,3406,8600,12790,6401,4824,6767,2304,607,8982,874,1632,2560,1429,931,34,037,2011,Sussex,34037,0.8359332188653052,0.16406678113469478
"Union County, New Jersey",184598,111620,548,7716,21374,27903,13149,11680,14163,9692,5395,72978,2961,17034,15482,16450,4852,34,039,2011,Union,34039,0.6046652726465076,0.39533472735349245
"Warren County, New Jersey",42146,32637,60,2901,6567,8553,3816,3737,3659,2416,928,9509,406,2177,1730,1779,277,34,041,2011,Warren,34041,0.7743795377971813,0.22562046220281878
"Mercer County, New Jersey",132004,86024,453,6541,14124,22347,9802,8977,12990,6593,4197,45980,3219,10593,9743,9085,3564,34,021,2012,Mercer,34021,0.6516772219023665,0.3483227780976334
"Cumberland County, New Jersey",50068,34006,0,2503,6639,7387,4361,3458,5144,3308,1206,16062,923,3678,2946,2458,1776,34,011,2012,Cumberland,34011,0.6791962930414636,0.3208037069585364
"Somerset County, New Jersey",116840,89911,203,5860,17038,26219,10570,8995,12499,6274,2253,26929,1062,7459,6010,5630,1558,34,035,2012,Somerset,34035,0.7695224238274564,0.23047757617254364
"Ocean County, New Jersey",223599,182764,445,12798,23849,33578,17198,19396,36418,27052,12030,40835,2521,10363,7370,8745,2552,34,029,2012,Ocean,34029,0.8173739596330931,0.18262604036690683
"Atlantic County, New Jersey",100065,64897,302,3946,9524,15830,7205,7688,12176,5927,2299,35168,1979,8777,6609,7709,2528,34,001,2012,Atlantic,34001,0.6485484435117174,0.35145155648828263
"Middlesex County, New Jersey",283337,187331,624,14551,34693,48232,21396,19349,26056,14517,7913,96006,6618,27006,23306,15963,6580,34,023,2012,Middlesex,34023,0.661159679110035,0.33884032088996496
"Salem County, New Jersey",24861,17598,72,1605,2729,3659,2134,2129,3185,1507,578,7263,498,1211,1222,1740,813,34,033,2012,Salem,34033,0.7078556775672741,0.292144322432726
"Cape May County, New Jersey",40470,29689,151,1330,3162,6487,3821,3569,5956,4102,1111,10781,463,2545,1880,1618,766,34,009,2012,Cape May,34009,0.7336051396095874,0.26639486039041266
"Camden County, New Jersey",185477,126421,228,11286,23986,31056,14655,13366,17775,9963,4106,59056,2541,15506,10685,10076,6007,34,007,2012,Camden,34007,0.6815993357666988,0.31840066423330116
"Union County, New Jersey",184879,109258,40,8181,19826,28737,11166,11842,14710,9088,5668,75621,3442,16280,17987,17338,5345,34,039,2012,Union,34039,0.5909703103110683,0.40902968968893166
"Hudson County, New Jersey",249028,79888,503,9473,16868,17654,8573,7094,10948,6584,2191,169140,9352,48086,38018,30992,11577,34,017,2012,Hudson,34017,0.32079926755224314,0.6792007324477569
"Hunterdon County, New Jersey",47227,38620,96,1622,6132,11924,5107,3866,6726,1926,1221,8607,197,1578,2234,1686,968,34,019,2012,Hunterdon,34019,0.8177525568001355,0.1822474431998645
"Morris County, New Jersey",179876,136458,310,7956,23834,37603,16598,14275,18830,11697,5355,43418,1243,11092,9571,9096,3073,34,027,2012,Morris,34027,0.7586226066846049,0.24137739331539504
"Monmouth County, New Jersey",236447,177977,504,11419,30093,49617,20869,20074,25454,15105,4842,58470,2431,12801,11050,11531,4300,34,025,2012,Monmouth,34025,0.7527141388979348,0.24728586110206516
"Sussex County, New Jersey",54179,46098,260,3377,8579,12622,6316,4690,6228,2923,1103,8081,434,1440,1632,1759,764,34,037,2012,Sussex,34037,0.8508462688495543,0.14915373115044575
"Essex County, New Jersey",279102,126170,211,7448,24397,33409,14877,13127,17736,10895,4070,152932,5676,34903,35363,30590,12514,34,013,2012,Essex,34013,0.45205695408846946,0.5479430459115305
"Gloucester County, New Jersey",104691,85156,404,7365,15084,23246,10186,9148,11057,6605,2061,19535,2179,4159,4086,3231,1275,34,015,2012,Gloucester,34015,0.8134032533837675,0.18659674661623254
"Passaic County, New Jersey",163712,86544,64,6185,13489,21777,10740,9756,12592,8233,3708,77168,2216,15021,18809,17353,5998,34,031,2012,Passaic,34031,0.528635652853792,0.47136434714620795
"Bergen County, New Jersey",336856,219807,755,12656,38009,54542,28266,23145,32121,20513,9800,117049,3534,25990,26688,24366,9021,34,003,2012,Bergen,34003,0.6525251145890232,0.3474748854109768
"Warren County, New Jersey",41262,30513,93,1820,5948,8375,3338,3439,3971,2478,1051,10749,789,2905,1634,2020,1134,34,041,2012,Warren,34041,0.7394939653918859,0.260506034608114
"Burlington County, New Jersey",164819,126351,753,9783,20918,33214,14738,13376,18175,11372,4022,38468,2538,8500,8575,6424,3234,34,005,2012,Burlington,34005,0.7666045783556508,0.23339542164434926
"Mercer County, New Jersey",131623,84223,26,5150,16730,20616,10183,8808,12800,6930,2980,47400,2062,11935,8123,8435,2841,34,021,2013,Mercer,34021,0.6398805679858384,0.36011943201416163
"Cumberland County, New Jersey",50066,31524,189,2595,4951,6869,4648,3304,5319,2613,1036,18542,1320,4548,3832,3786,786,34,011,2013,Cumberland,34011,0.6296488635001798,0.3703511364998202
"Somerset County, New Jersey",112974,87926,148,5008,15670,25516,10754,11003,11139,6167,2521,25048,407,4747,6079,5822,2151,34,035,2013,Somerset,34035,0.7782852691769788,0.22171473082302123
"Ocean County, New Jersey",217698,174290,369,10375,21280,33756,17295,18206,37582,23883,11544,43408,1802,10431,8503,9041,3041,34,029,2013,Ocean,34029,0.8006045071612968,0.19939549283870317
"Atlantic County, New Jersey",101721,67645,274,4423,8977,16651,10261,7458,11418,5939,2244,34076,1282,7938,5729,7587,2993,34,001,2013,Atlantic,34001,0.6650052594842756,0.33499474051572437
"Middlesex County, New Jersey",283211,179511,468,10943,32017,44516,23392,18482,27249,15150,7294,103700,4326,29373,26003,18059,7178,34,023,2013,Middlesex,34023,0.6338419058581765,0.3661580941418236
"Salem County, New Jersey",24280,17055,72,1220,1992,4149,2216,2490,2674,1622,620,7225,502,1746,1543,949,583,34,033,2013,Salem,34033,0.7024299835255354,0.29757001647446457
"Cape May County, New Jersey",38210,30288,100,1558,2584,6214,3677,4312,6399,4601,843,7922,260,1514,1169,1284,572,34,009,2013,Cape May,34009,0.792672075372939,0.20732792462706098
"Camden County, New Jersey",185774,122583,404,10035,21405,31293,16445,12829,18359,7899,3914,63191,3492,17744,12472,9549,5166,34,007,2013,Camden,34007,0.6598501404932875,0.34014985950671245
"Union County, New Jersey",186951,106359,0,7119,20102,26045,13765,10952,14670,8138,5568,80592,2339,17389,17909,18241,8226,34,039,2013,Union,34039,0.5689137795465122,0.4310862204534878
"Hudson County, New Jersey",247490,75428,297,7888,17418,15020,8325,7093,10491,5945,2951,172062,5669,48969,37794,34963,11949,34,017,2013,Hudson,34017,0.30477190997616066,0.6952280900238393
"Hunterdon County, New Jersey",45792,39090,105,1503,5978,12220,5701,4012,5803,2811,957,6702,65,862,1725,1201,627,34,019,2013,Hunterdon,34019,0.8536425576519916,0.14635744234800838
"Morris County, New Jersey",178951,135135,281,8835,23711,36263,17502,13143,19402,11588,4410,43816,715,11313,8161,9382,2940,34,027,2013,Morris,34027,0.7551508513503696,0.24484914864963034
"Monmouth County, New Jersey",232158,171083,317,8261,29292,43849,22831,20233,26228,13086,6986,61075,1865,14739,11665,11889,5679,34,025,2013,Monmouth,34025,0.736924852901903,0.263075147098097
"Sussex County, New Jersey",54765,45727,122,2979,8221,12533,6553,5128,6479,2862,850,9038,432,2403,1532,1785,542,34,037,2013,Sussex,34037,0.8349675887884598,0.16503241121154022
"Essex County, New Jersey",277102,124505,105,6161,22429,33895,14560,13511,20853,8773,4218,152597,5901,34708,32764,29430,13444,34,013,2013,Essex,34013,0.4493110840051678,0.5506889159948323
"Gloucester County, New Jersey",103864,80754,285,6636,14193,21068,10713,8128,11992,5521,2218,23110,1789,6921,3547,4533,1858,34,015,2013,Gloucester,34015,0.7774974967264885,0.2225025032735115
"Passaic County, New Jersey",161331,86520,103,6134,13384,22155,10760,9401,14222,6596,3765,74811,2147,16007,17250,16583,6727,34,031,2013,Passaic,34031,0.53628874797776,0.46371125202224
"Bergen County, New Jersey",338063,218300,1255,13509,35386,55478,25452,21749,34715,20533,10223,119763,3763,27440,28922,22368,11279,34,003,2013,Bergen,34003,0.6457376287851673,0.3542623712148327
"Warren County, New Jersey",41870,28909,0,1667,3981,8267,4208,2760,4345,2368,1313,12961,1097,3083,3045,2182,898,34,041,2013,Warren,34041,0.690446620491999,0.30955337950800094
"Burlington County, New Jersey",162245,127368,269,9275,21542,32689,15278,13353,19106,11083,4773,34877,1353,10017,7320,6205,2028,34,005,2013,Burlington,34005,0.7850349779654227,0.21496502203457735
