county_name,total_occupied_units,owner_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_total,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,state_fips,county_fips,year,county_clean,county_fips_full,owner_rate,renter_rate
"Hunterdon County, New Jersey",45428,39999,41,2751,8956,12296,4884,4241,4045,2139,646,5429,290,983,1578,963,352,34,019,2006,Hunterdon,34019,0.8804922074491504,0.1195077925508497
"Mercer County, New Jersey",127216,87262,397,7265,20709,21275,9412,8240,9334,8167,2463,39954,2898,11521,7247,6582,2661,34,021,2006,Mercer,34021,0.6859357313545466,0.3140642686454534
"Middlesex County, New Jersey",270292,181635,546,16415,41447,46134,20536,14747,21521,15820,4469,88657,4865,24050,23890,15156,6067,34,023,2006,Middlesex,34023,0.6719954715640862,0.32800452843591377
"Monmouth County, New Jersey",229938,177418,1056,14227,38986,47436,22598,15395,20989,12949,3782,52520,4354,10783,9844,9907,3232,34,025,2006,Monmouth,34025,0.7715906026842019,0.22840939731579818
"Morris County, New Jersey",174256,133762,322,11307,31577,36117,15254,12525,14873,9301,2486,40494,2315,9156,10498,7589,2750,34,027,2006,Morris,34027,0.7676177577816545,0.23238224221834541
"Ocean County, New Jersey",221630,183953,1191,17262,33477,34327,13831,15431,27038,30304,11092,37677,2793,10777,8833,5434,1691,34,029,2006,Ocean,34029,0.8300004512024546,0.16999954879754545
"Passaic County, New Jersey",159398,87811,314,6692,19913,22679,10355,8168,11221,6246,2223,71587,4858,16571,17940,13222,5888,34,031,2006,Passaic,34031,0.5508914791904541,0.44910852080954594
"Salem County, New Jersey",24621,17534,251,1145,3767,4685,1527,1691,2554,1253,661,7087,844,2156,883,1345,247,34,033,2006,Salem,34033,0.7121562893464928,0.28784371065350717
"Somerset County, New Jersey",114164,90441,610,8335,22017,26729,9937,7524,8412,4926,1951,23723,1114,5677,5521,4885,1019,34,035,2006,Somerset,34035,0.7922024456045689,0.20779755439543113
"Sussex County, New Jersey",54811,46096,191,4889,11437,12261,6184,3991,4474,2112,557,8715,655,2388,1741,1978,180,34,037,2006,Sussex,34037,0.8409990695298389,0.1590009304701611
"Union County, New Jersey",185201,114852,662,8440,24672,31585,13533,9399,12636,10035,3890,70349,3560,14950,20386,12266,3764,34,039,2006,Union,34039,0.6201478393745175,0.3798521606254826
"Warren County, New Jersey",41487,30818,81,2724,7774,7915,3298,2195,3645,2335,851,10669,149,2581,2324,2810,706,34,041,2006,Warren,34041,0.742835104972642,0.25716489502735795
"Atlantic County, New Jersey",103197,72038,369,7737,15276,18810,6916,6362,9259,5422,1887,31159,2324,7572,6390,5023,3023,34,001,2007,Atlantic,34001,0.6980629281858969,0.3019370718141031
"Bergen County, New Jersey",331529,229885,1018,16694,46379,58934,24957,22888,29380,21038,8597,101644,4791,21706,26337,19286,6877,34,003,2007,Bergen,34003,0.6934084197762488,0.30659158022375116
"Burlington County, New Jersey",166164,128970,486,13500,28755,31527,14421,10969,15935,11592,1785,37194,1861,11276,8005,6083,2621,34,005,2007,Burlington,34005,0.7761609012782552,0.2238390987217448
"Camden County, New Jersey",194073,134491,740,15582,29802,35004,14055,12161,15414,9698,2035,59582,7760,12611,11791,9944,3929,34,007,2007,Camden,34007,0.6929918123592669,0.3070081876407331
"Cape May County, New Jersey",46717,33841,984,2504,5574,6627,3154,3743,5289,4926,1040,12876,1768,4223,2102,1892,569,34,009,2007,Cape May,34009,0.7243829869212493,0.27561701307875075
"Cumberland County, New Jersey",50885,35370,336,3210,6977,8681,3442,3646,4985,2994,1099,15515,915,5533,3330,2511,319,34,011,2007,Cumberland,34011,0.6950967868723592,0.30490321312764074
"Essex County, New Jersey",274095,131375,464,10101,27511,35562,14232,12281,16308,11664,3252,142720,8547,32419,32877,26340,10975,34,013,2007,Essex,34013,0.4793046206607198,0.5206953793392802
"Gloucester County, New Jersey",100042,80363,381,8815,19442,20624,9109,6819,8003,6125,1045,19679,2688,4533,3711,3897,1421,34,015,2007,Gloucester,34015,0.8032926171008177,0.19670738289918235
"Hudson County, New Jersey",228826,80109,392,10390,18264,18209,8227,7089,9354,5954,2230,148717,8164,36069,37424,28029,9757,34,017,2007,Hudson,34017,0.3500869656420162,0.6499130343579838
"Hunterdon County, New Jersey",47446,41622,25,3169,9838,11226,5639,3656,4850,2687,532,5824,131,1226,1285,1234,483,34,019,2007,Hunterdon,34019,0.8772499262319268,0.12275007376807318
"Mercer County, New Jersey",128026,89546,354,8669,19562,22409,10061,8557,10680,7297,1957,38480,3427,9114,7493,8409,2437,34,021,2007,Mercer,34021,0.6994360520519269,0.30056394794807306
"Middlesex County, New Jersey",271942,182242,856,15712,42495,49035,18874,15234,21520,14635,3881,89700,5046,25908,24256,15895,3905,34,023,2007,Middlesex,34023,0.6701502526273985,0.32984974737260153
"Monmouth County, New Jersey",232730,174955,613,13479,36496,49807,21338,16207,21114,11382,4519,57775,2907,12526,12339,12127,3744,34,025,2007,Monmouth,34025,0.7517509560434839,0.24824904395651615
"Morris County, New Jersey",175099,133747,83,9183,31084,36370,15240,13961,16286,8642,2898,41352,2209,10829,7711,8481,3184,34,027,2007,Morris,34027,0.7638364582322,0.23616354176779994
"Ocean County, New Jersey",222473,184003,1255,18589,29914,37552,14663,14344,26549,29368,11769,38470,2917,9982,9448,5813,1707,34,029,2007,Ocean,34029,0.8270801400619401,0.1729198599380599
"Passaic County, New Jersey",158192,88013,193,6457,19410,21966,10316,8826,11308,6811,2726,70179,3500,14713,17662,14074,4128,34,031,2007,Passaic,34031,0.5563682107818347,0.44363178921816526
"Salem County, New Jersey",25525,19888,135,2480,4052,4327,2364,1591,2712,1779,448,5637,669,1206,1146,929,398,34,033,2007,Salem,34033,0.7791576885406464,0.22084231145935357
"Somerset County, New Jersey",112733,90834,146,6817,21522,25338,10408,7977,11063,6213,1350,21899,1062,5413,5239,4157,941,34,035,2007,Somerset,34035,0.8057445468496358,0.19425545315036413
"Sussex County, New Jersey",54524,46162,289,4586,10306,13941,4932,4372,4729,2394,613,8362,283,1557,1545,2055,944,34,037,2007,Sussex,34037,0.8466363436284938,0.15336365637150612
