county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
34009,Cape May,2007,46717,33841,12876,0.7243829869212493,0.2756170130787507,650,663,834,1093,1125,-2.96,1023.37
34011,Cumberland,2007,50885,35370,15515,0.6950967868723592,0.3049032131276407,703,706,889,1080,1138,3.52,636.71
34013,Essex,2007,274095,131375,142720,0.4793046206607198,0.5206953793392802,761,930,1063,1272,1407,1.11,1036.06
34015,Gloucester,2007,100042,80363,19679,0.8032926171008177,0.1967073828991823,676,773,923,1105,1314,1.71,680.66
34017,Hudson,2007,228826,80109,148717,0.3500869656420162,0.6499130343579838,936,989,1154,1399,1506,1.42,1055.65
34019,Hunterdon,2007,47446,41622,5824,0.8772499262319268,0.1227500737680731,1031,1068,1257,1578,1860,-1.63,876.45
34021,Mercer,2007,128026,89546,38480,0.6994360520519269,0.300563947948073,784,902,1084,1295,1454,-1.26,872.03
34023,Middlesex,2007,271942,182242,89700,0.6701502526273985,0.3298497473726015,1031,1068,1257,1578,1860,-1.03,754.85
34025,Monmouth,2007,232730,174955,57775,0.7517509560434839,0.2482490439565161,830,958,1170,1525,1654,-1.47,964.61
34027,Morris,2007,175099,133747,41352,0.7638364582322,0.2361635417677999,761,930,1063,1272,1407,-1.17,1034.35
34029,Ocean,2007,222473,184003,38470,0.8270801400619401,0.1729198599380599,830,958,1170,1525,1654,-1.74,893.66
34031,Passaic,2007,158192,88013,70179,0.5563682107818347,0.4436317892181652,927,1037,1163,1436,1654,-0.49,932.52
34033,Salem,2007,25525,19888,5637,0.7791576885406464,0.2208423114593535,676,773,923,1105,1314,4.93,535.69
34035,Somerset,2007,112733,90834,21899,0.8057445468496358,0.1942554531503641,1031,1068,1257,1578,1860,-2.15,842.19
34037,Sussex,2007,54524,46162,8362,0.8466363436284938,0.1533636563715061,761,930,1063,1272,1407,0.58,859.19
34039,Union,2007,182933,109362,73571,0.5978254333553815,0.4021745666446185,761,930,1063,1272,1407,0.42,980.39
34041,Warren,2007,42759,32182,10577,0.752636871769686,0.2473631282303141,802,898,1050,1257,1294,-2.13,745.66
34001,Atlantic,2008,101076,73110,27966,0.7233171079187938,0.2766828920812062,786,866,1033,1310,1469,-5.51,815.09
34003,Bergen,2008,331701,225394,106307,0.6795095583070295,0.3204904416929705,1001,1120,1256,1551,1786,-3.86,983.31
34005,Burlington,2008,165184,130118,35066,0.7877155172413793,0.2122844827586207,682,781,932,1116,1327,-4.2,723.31
34007,Camden,2008,191668,132436,59232,0.690965628065196,0.3090343719348039,682,781,932,1116,1327,-3.84,588.45
34009,Cape May,2008,47356,35975,11381,0.7596714249514317,0.2403285750485683,697,712,895,1172,1207,-4.09,981.55
34011,Cumberland,2008,51264,35093,16171,0.6845544631710362,0.3154455368289638,756,759,956,1162,1224,-4.77,606.34
34013,Essex,2008,279297,129621,149676,0.4640973587256576,0.5359026412743424,790,965,1103,1320,1460,-3.83,996.42
34015,Gloucester,2008,102002,81322,20680,0.7972588772769161,0.2027411227230838,682,781,932,1116,1327,-3.38,657.66
34017,Hudson,2008,234638,82951,151687,0.353527561605537,0.646472438394463,967,1022,1192,1445,1556,-4.21,1011.23
34019,Hunterdon,2008,47797,41231,6566,0.8626273615498881,0.1373726384501119,1099,1139,1340,1682,1983,-5.2,830.89
34021,Mercer,2008,127905,86375,41530,0.6753058910910441,0.3246941089089559,810,932,1120,1338,1502,-4.53,832.51
34023,Middlesex,2008,275089,183995,91094,0.6688562610646009,0.3311437389353991,1099,1139,1340,1682,1983,-4.86,718.16
34025,Monmouth,2008,230530,175924,54606,0.763128443152735,0.236871556847265,887,1025,1251,1630,1769,-4.36,922.52
34027,Morris,2008,176084,133595,42489,0.7587003929942527,0.2412996070057472,790,965,1103,1320,1460,-4.36,989.22
34029,Ocean,2008,221974,181757,40217,0.8188211231946084,0.1811788768053916,887,1025,1251,1630,1769,-5.6,843.58
34031,Passaic,2008,155533,89413,66120,0.5748812149190204,0.4251187850809796,1001,1120,1256,1551,1786,-5.39,882.24
34033,Salem,2008,24292,17517,6775,0.7211015972336572,0.2788984027663428,682,781,932,1116,1327,-2.92,520.06
34035,Somerset,2008,111280,89003,22277,0.7998112868439972,0.2001887131560028,1099,1139,1340,1682,1983,-4.42,804.96
34037,Sussex,2008,55621,47097,8524,0.8467485302313874,0.1532514697686125,790,965,1103,1320,1460,-5.87,808.73
34039,Union,2008,181121,110906,70215,0.6123309831549075,0.3876690168450925,790,965,1103,1320,1460,-5.24,929.04
34041,Warren,2008,42600,31141,11459,0.7310093896713615,0.2689906103286385,769,861,1007,1205,1241,-5.3,706.16
34001,Atlantic,2009,101681,71846,29835,0.7065823506849854,0.2934176493150146,813,895,1068,1354,1519,-10.26,731.47
34003,Bergen,2009,336555,221717,114838,0.6587838540506009,0.3412161459493991,995,1114,1249,1543,1776,-7.76,906.97
34005,Burlington,2009,166769,129454,37315,0.7762473841061588,0.2237526158938411,736,842,1005,1203,1431,-7.86,666.48
34007,Camden,2009,192758,133895,58863,0.6946274603388705,0.3053725396611295,736,842,1005,1203,1431,-7.54,544.09
34009,Cape May,2009,46989,31715,15274,0.6749451999404116,0.3250548000595884,719,734,923,1209,1245,-6.85,914.36
