Merge,State,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year,County
56722,22,2,1,1,15929,228111,2,2367.59,68,39,5,15929,1994,
57286,22,2,3,1,129082,117644,1,2153.96,53,39,1,26017,1994,
57879,22,2,6,1,140810,114672,1,2282.95,39,43,1,140405,1994,
57880,22,2,4,1,128020,277980,1,2731.18,54,39,1,11010,1994,
57881,22,2,4,1,57006,142574,1,3257.23,46,43,1,37003,1994,
57882,22,2,4,1,175000,148642,1,2489.71,47,43,1,175000,1994,
57883,22,2,2,1,55308,246509,1,2570.6,63,39,1,13308,1994,
57884,22,2,4,1,68000,97752,1,2051.81,37,39,1,68000,1994,
58365,22,2,3,2,84254,205294,1,2070.39,48,44,1,51102,1994,
58366,22,2,3,1,229000,205294,1,2408.84,45,43,1,185000,1994,
58367,22,2,3,1,159000,109489,1,2408.84,45,44,1,110000,1994,
58368,22,2,1,1,8449,214132,2,2190.28,80,39,4,8449,1994,
58370,22,2,2,1,45744,213353,1,2175.37,55,39,5,17744,1994,
58867,22,2,1,2,4344,133732,2,2686.23,48,40,7,4344,1994,
58868,22,2,1,2,13080,252158,2,2609.91,79,39,7,13080,1994,
58869,22,2,1,2,6288,235169,2,2424.7,70,36,7,6288,1994,
59430,22,2,4,1,76472,120394,1,2322.5,44,40,1,242,1994,
59930,22,2,6,1,84862,106978,1,1924.09,44,40,1,70100,1994,
60607,22,2,4,1,132372,148642,1,2552.81,61,43,1,50186,1994,
60608,22,2,5,2,16000,95445,1,1900.91,38,39,7,16000,1994,
60826,22,2,4,1,149320,206452,1,2328.73,57,43,1,75710,1994,
61211,22,2,4,1,149148,122299,1,2116.88,56,46,1,77506,1994,
61212,22,2,2,1,14436,252158,1,2609.91,80,33,7,5040,1994,
61214,22,2,2,2,40000,89068,1,1942.73,19,39,1,15000,1994,
61675,22,2,3,1,68382,169956,1,2761.36,55,39,1,5,1994,
61683,22,2,1,2,37000,231434,2,2423.71,32,43,7,37000,1994,
62235,22,2,2,2,100439,139089,2,2331.26,33,42,7,72000,1994,
62236,22,2,1,2,2192,128366,2,2949.85,53,41,4,2192,1994,
62779,22,2,1,3,38008,214132,2,2190.28,80,43,7,38008,1994,
63608,22,2,3,1,124200,149167,1,2804.29,43,40,1,77100,1994,
63609,22,2,3,1,71020,303054,1,3151.26,50,44,1,43010,1994,
63610,22,2,2,1,126900,220583,1,2002.99,56,44,1,86150,1994,
63611,22,2,1,1,6723,222720,2,2182.28,79,41,7,6723,1994,
63612,22,2,1,2,91365,231434,2,2423.71,34,43,7,91365,1994,
64208,22,2,3,2,48600,110566,1,0.0,38,33,1,24600,1994,
64209,22,2,2,2,37052,118657,1,0.0,80,33,4,11052,1994,
64252,22,2,6,1,89320,131945,1,0.0,58,39,1,41600,1994,
64396,22,2,3,1,141886,148255,1,2731.18,50,43,1,40943,1994,
64876,22,2,1,3,26000,257254,2,2910.72,25,40,7,26000,1994,
64888,22,2,1,1,79432,232930,2,2635.31,37,39,7,79432,1994,
65088,22,2,1,2,15861,289097,2,2833.95,80,39,4,15861,1994,
65279,22,2,3,1,47260,113719,1,3365.76,30,43,1,41010,1994,
