county_clean,county_fips_full,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group
Cumberland,34011,2005,75-84,3237.0,0.0,3237.0,0.06485154465680971,1.0,0.0
Cumberland,34011,2005,85+,777.0,0.0,777.0,0.015566774852746724,1.0,0.0
Essex,34013,2005,15-24,971.0,10645.0,11616.0,0.04092432030608686,0.08359159779614325,0.9164084022038568
Essex,34013,2005,25-34,11017.0,34507.0,45524.0,0.16038556797643752,0.24200421755557508,0.7579957824444249
Essex,34013,2005,35-44,28395.0,33053.0,61448.0,0.21648739963571154,0.4620980341101419,0.5379019658898581
Essex,34013,2005,45-54,34421.0,28589.0,63010.0,0.22199048058596185,0.5462783685129344,0.45372163148706557
Essex,34013,2005,55-59,14952.0,10907.0,25859.0,0.09110382221032197,0.5782126145635949,0.4217873854364051
Essex,34013,2005,60-64,11532.0,0.0,11532.0,0.04062837997329491,1.0,0.0
Essex,34013,2005,65-74,15752.0,0.0,15752.0,0.05549585859689051,1.0,0.0
Essex,34013,2005,75-84,12012.0,0.0,12012.0,0.04231946758924891,1.0,0.0
Essex,34013,2005,85+,3533.0,0.0,3533.0,0.012447109473261438,1.0,0.0
Gloucester,34015,2005,15-24,273.0,3407.0,3680.0,0.0374234750950841,0.07418478260869565,0.9258152173913043
Gloucester,34015,2005,25-34,9772.0,3789.0,13561.0,0.13790753960990096,0.7205958262664995,0.27940417373350046
Gloucester,34015,2005,35-44,18644.0,4038.0,22682.0,0.2306628429637765,0.8219733709549423,0.17802662904505775
Gloucester,34015,2005,45-54,21321.0,2848.0,24169.0,0.24578477434051293,0.8821631014936488,0.11783689850635111
Gloucester,34015,2005,55-59,7993.0,971.0,8964.0,0.09115870400878638,0.8916778224007139,0.10832217759928603
Gloucester,34015,2005,60-64,5821.0,0.0,5821.0,0.059196208839262104,1.0,0.0
Gloucester,34015,2005,65-74,8381.0,0.0,8381.0,0.085229930644538,1.0,0.0
Gloucester,34015,2005,75-84,6971.0,0.0,6971.0,0.07089104480647589,1.0,0.0
Gloucester,34015,2005,85+,1439.0,0.0,1439.0,0.014633799092887506,1.0,0.0
Hudson,34017,2005,15-24,799.0,8879.0,9678.0,0.04221776304309893,0.0825583798305435,0.9174416201694565
Hudson,34017,2005,25-34,9897.0,38024.0,47921.0,0.20904292444599545,0.20652740969512323,0.7934725903048768
Hudson,34017,2005,35-44,14650.0,38919.0,53569.0,0.2336808584889199,0.27347906438425207,0.7265209356157479
